athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,endurance,belfiore,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.7562847765401695,0,45.189325,10.79284167,37.0
elite,endurance,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.500149397335763,0.0012485055376086891,45.18932167,10.79282,37.0
elite,endurance,belfiore,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.196762152836076,0,45.189325,10.79279833,36.0
elite,endurance,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6740643083170714,0.012909070423011901,45.18932667,10.79278,35.0
elite,endurance,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6735545015259583,0.010137318453088427,45.18933167,10.792755,35.0
elite,endurance,belfiore,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2622344093391,0,45.18933833,10.79272333,34.0
elite,endurance,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6709369161491265,0.0015956472961369467,45.18934167,10.79269167,33.0
elite,endurance,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.582241768765348,0.0004414677253378728,45.18934167,10.792665,32.0
elite,endurance,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.595736892033046,0,45.189345,10.79263833,31.0
elite,endurance,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.600074784809784,0.011354357096142362,45.18935167,10.792615,31.0
elite,endurance,belfiore,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1168584914368753,0,45.189355,10.79258667,30.0
elite,endurance,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.620975466508173,0,45.189355,10.79256,29.0
elite,endurance,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6331525245443426,0,45.18936,10.79252833,29.0
elite,endurance,belfiore,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.269901249770274,0,45.18936167,10.79250167,28.0
elite,endurance,belfiore,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5052291437643883,0,45.18936167,10.79247167,28.0
elite,endurance,belfiore,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1413779046502106,0,45.18936333,10.79244,27.0
elite,endurance,belfiore,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.685955968716956,0.0006315466478840219,45.189365,10.79241,27.0
elite,endurance,belfiore,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.142713808859947,0,45.18936833,10.79238,27.0
elite,endurance,belfiore,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.171348695089829,0,45.18937,10.79235,27.0
elite,endurance,belfiore,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.242163531568563,0.0008355428481469523,45.18936833,10.79231833,26.0
elite,endurance,belfiore,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.683070158875265,0,45.18937,10.792285,26.0
elite,endurance,belfiore,22,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.131893778582271,0,45.18937,10.79225333,25.0
elite,endurance,belfiore,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.615690548220665,0,45.18937167,10.79221833,25.0
elite,endurance,belfiore,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2340296080350983,0,45.18937333,10.79218667,25.0
elite,endurance,belfiore,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2577284837228415,0,45.189375,10.79215833,25.0
elite,endurance,belfiore,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.152298646076007,0,45.18937333,10.79213167,25.0
elite,endurance,belfiore,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2390961832140364,0,45.18937167,10.792105,24.0
elite,endurance,belfiore,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.675554996693886,0,45.18937,10.792075,24.0
elite,endurance,belfiore,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1235613362814307,0,45.18936667,10.79204167,24.0
elite,endurance,belfiore,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.265583462832621,0,45.18936667,10.79201167,24.0
elite,endurance,belfiore,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1206019100896847,0,45.18936667,10.79198333,24.0
elite,endurance,belfiore,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1864149394167347,0,45.18936667,10.791955,24.0
elite,endurance,belfiore,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.222248796815782,0.0029673757568262843,45.18936833,10.79193,24.0
elite,endurance,belfiore,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2601090796368286,0,45.18937,10.7919,24.0
elite,endurance,belfiore,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1785770600431507,0.0033218722902802556,45.18937167,10.79186833,24.0
elite,endurance,belfiore,36,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1287922969515423,0.005041495625814273,45.18937333,10.79184,24.0
elite,endurance,belfiore,37,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1245802374073874,0,45.189375,10.79181333,24.0
elite,endurance,belfiore,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.291122162391987,0,45.18937667,10.79178667,24.0
elite,endurance,belfiore,39,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.2851816148325756,0,45.18937833,10.79176,25.0
elite,endurance,belfiore,40,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.549475102450789,0.006036245567584178,45.18938,10.79173167,25.0
elite,endurance,belfiore,41,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.119584844569713,0,45.18938,10.791705,25.0
elite,endurance,belfiore,42,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1268249456354607,0.0016926181903408493,45.18938333,10.79167833,25.0
elite,endurance,belfiore,43,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.253127075793659,0.0007392035749733283,45.18938333,10.79165333,25.0
elite,endurance,belfiore,44,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1356076856193615,0,45.18938333,10.791625,25.0
elite,endurance,belfiore,45,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.15068418751133,0,45.18938167,10.79159333,25.0
elite,endurance,belfiore,46,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2504652259564257,0,45.189385,10.79156667,25.0
elite,endurance,belfiore,47,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.263115229440341,0.0031162967679198724,45.18939167,10.79154333,25.0
elite,endurance,belfiore,48,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2788340659963686,0,45.189395,10.79151667,25.0
