athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,endurance,tre_laghi,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.648034542690374,0,45.18933,10.79333333,93.0
elite,endurance,tre_laghi,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6977150760153767,0.011978768480760672,45.18926,10.79329333,91.0
elite,endurance,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6242200900527153,0.021398889992410804,45.18926333,10.79323667,90.0
elite,endurance,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.624002230138071,0.017752671192702154,45.18929667,10.79316667,88.0
elite,endurance,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5921250089376833,0,45.18930833,10.793115,85.0
elite,endurance,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5005988695249997,0,45.18930667,10.79308167,80.0
elite,endurance,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6864872493707437,0.006383965076428223,45.18930833,10.79303667,76.0
elite,endurance,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6166423660130707,0.014478118054189784,45.18930667,10.79298333,72.0
elite,endurance,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6247096612314653,0.018842840699615435,45.18931333,10.79293833,69.0
elite,endurance,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6359933446464394,0.028282851522068962,45.189315,10.79289167,66.0
elite,endurance,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6942890542698272,0.022168037183193778,45.18931667,10.79285667,64.0
elite,endurance,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.579446856328966,0.013077177152166362,45.18931833,10.792825,61.0
elite,endurance,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5348537204517068,0.0008945295924292089,45.18931667,10.79279333,60.0
elite,endurance,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5771811287262234,6.458947334193814e-05,45.18931667,10.79277167,58.0
elite,endurance,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5032419241265993,0.01016996312585022,45.18931833,10.79274667,56.0
elite,endurance,tre_laghi,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5812164480754873,0.021895833587123426,45.18932167,10.79271833,55.0
elite,endurance,tre_laghi,17,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6103725140487293,0.019558742524085283,45.18932333,10.79268833,54.0
elite,endurance,tre_laghi,18,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6920253277870794,0.001267805502244335,45.189325,10.79265167,53.0
elite,endurance,tre_laghi,19,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5132538958922175,0,45.18932667,10.792625,52.0
