athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,fartlek,belfiore,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.757797243286034,0,45.189325,10.79284167,37.0
elite,fartlek,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.690009549012111,0.011878158052111646,45.18932167,10.79282,37.0
elite,fartlek,belfiore,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1085803156890286,0,45.189325,10.79279833,36.0
elite,fartlek,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6067469293416012,0,45.18932667,10.79278,35.0
elite,fartlek,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.625257788706226,0.005376236823815257,45.18933167,10.792755,35.0
elite,fartlek,belfiore,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.11915511445744,0,45.18933833,10.79272333,34.0
elite,fartlek,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5574151455038607,0,45.18934167,10.79269167,33.0
elite,fartlek,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.657599746013735,0.01415527887382239,45.18934167,10.792665,32.0
elite,fartlek,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.548080077933879,0.00973121609554644,45.189345,10.79263833,31.0
elite,fartlek,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.502845909861552,0.018220031339794163,45.18935167,10.792615,31.0
elite,fartlek,belfiore,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2756896395580832,0,45.189355,10.79258667,30.0
elite,fartlek,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.594740590451425,0.009893132476317566,45.189355,10.79256,29.0
elite,fartlek,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6990136373960185,0.01686132840164651,45.18936,10.79252833,29.0
elite,fartlek,belfiore,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2807352663345517,0.004786565570910282,45.18936167,10.79250167,28.0
elite,fartlek,belfiore,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.528535872978652,0,45.18936167,10.79247167,28.0
elite,fartlek,belfiore,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.210818870392254,0,45.18936333,10.79244,27.0
elite,fartlek,belfiore,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.660894511572706,0,45.189365,10.79241,27.0
elite,fartlek,belfiore,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2967452104019035,0,45.18936833,10.79238,27.0
elite,fartlek,belfiore,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.276193657037456,0,45.18937,10.79235,27.0
elite,fartlek,belfiore,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1491648637661456,0,45.18936833,10.79231833,26.0
elite,fartlek,belfiore,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.695042131891864,0.0024316081997246106,45.18937,10.792285,26.0
elite,fartlek,belfiore,22,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.188594965312982,0,45.18937,10.79225333,25.0
elite,fartlek,belfiore,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6343705820420245,0.005391439630853498,45.18937167,10.79221833,25.0
elite,fartlek,belfiore,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1403617581266996,0.0011638508069694877,45.18937333,10.79218667,25.0
elite,fartlek,belfiore,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.175853067870071,0,45.189375,10.79215833,25.0
elite,fartlek,belfiore,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.194646632132047,0,45.18937333,10.79213167,25.0
elite,fartlek,belfiore,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.110242511709316,0,45.18937167,10.792105,24.0
elite,fartlek,belfiore,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6625021359906627,0,45.18937,10.792075,24.0
elite,fartlek,belfiore,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1396706718329237,0,45.18936667,10.79204167,24.0
elite,fartlek,belfiore,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.170803312204713,0,45.18936667,10.79201167,24.0
elite,fartlek,belfiore,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2390864396176484,0,45.18936667,10.79198333,24.0
elite,fartlek,belfiore,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2362351575260058,0,45.18936667,10.791955,24.0
elite,fartlek,belfiore,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.170108078465375,0,45.18936833,10.79193,24.0
elite,fartlek,belfiore,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1503523067462083,0,45.18937,10.7919,24.0
elite,fartlek,belfiore,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.290094588127407,0,45.18937167,10.79186833,24.0
elite,fartlek,belfiore,36,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.290954544506263,0,45.18937333,10.79184,24.0
elite,fartlek,belfiore,37,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.265281434562861,0,45.189375,10.79181333,24.0
