athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,fartlek,tre_laghi,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.7201437488641425,0,45.18933,10.79333333,93.0
elite,fartlek,tre_laghi,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.698276451090302,0,45.18926,10.79329333,91.0
elite,fartlek,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.518704574869875,0,45.18926333,10.79323667,90.0
elite,fartlek,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.552101220728015,0,45.18929667,10.79316667,88.0
elite,fartlek,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6702225163381064,0.012386419787482771,45.18930833,10.793115,85.0
elite,fartlek,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6554273625590707,0.020882292569876927,45.18930667,10.79308167,80.0
elite,fartlek,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6357687939534493,0.020688365307874438,45.18930833,10.79303667,76.0
elite,fartlek,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6775311730395024,0.026157274213069088,45.18930667,10.79298333,72.0
elite,fartlek,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6949453436282775,0.03287066444162581,45.18931333,10.79293833,69.0
elite,fartlek,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6325501246597045,0.0135938060471618,45.189315,10.79289167,66.0
elite,fartlek,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.539631584062355,0.021995883996684798,45.18931667,10.79285667,64.0
elite,fartlek,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6382075995476577,0.01799288790130732,45.18931833,10.792825,61.0
elite,fartlek,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6946814015084386,0.012662905565791204,45.18931667,10.79279333,60.0
elite,fartlek,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6791735863581034,0.023720403324690845,45.18931667,10.79277167,58.0
elite,fartlek,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.598632213316494,0.010927762816213523,45.18931833,10.79274667,56.0
elite,fartlek,tre_laghi,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.686627642206677,0.021254944515889457,45.18932167,10.79271833,55.0
elite,fartlek,tre_laghi,17,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.678534883463311,0.01488006550641599,45.18932333,10.79268833,54.0
