athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,progressions,acquedotti,1,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,3.7547151527275457,0,41.85956,12.56004167,75.0
elite,progressions,acquedotti,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.162556080443708,0,41.85954167,12.56003,74.0
elite,progressions,acquedotti,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.637869934225892,0.014585996705951792,41.859525,12.56001167,73.0
elite,progressions,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6592909944621828,0.0034915443067174796,41.85951,12.55999333,73.0
elite,progressions,acquedotti,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1592590763355184,0,41.859495,12.559975,73.0
elite,progressions,acquedotti,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.187902182807408,0,41.85948333,12.55996,72.0
elite,progressions,acquedotti,7,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6559823146250867,0,41.85947167,12.55994333,72.0
elite,progressions,acquedotti,8,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2895267238763113,0,41.85945833,12.55992,72.0
elite,progressions,acquedotti,9,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.111241682394127,0,41.85944667,12.55988833,72.0
elite,progressions,acquedotti,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2260310854051846,0,41.85943667,12.55986667,72.0
elite,progressions,acquedotti,11,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.102126327238564,0,41.85942667,12.55984667,72.0
elite,progressions,acquedotti,12,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.115205454267613,0,41.85941833,12.55982667,72.0
elite,progressions,acquedotti,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.161287112809374,0,41.859405,12.55980333,72.0
elite,progressions,acquedotti,14,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1239616172324114,0,41.859395,12.55978,73.0
elite,progressions,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.50361650596606,0,41.85937833,12.55974833,73.0
elite,progressions,acquedotti,16,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1932088295283556,0,41.85935833,12.55971667,73.0
elite,progressions,acquedotti,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1293819219929393,0,41.85934167,12.55968667,73.0
elite,progressions,acquedotti,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.171375937745462,0,41.85932833,12.55965833,73.0
elite,progressions,acquedotti,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.227982965165282,0,41.859315,12.55963,73.0
elite,progressions,acquedotti,20,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.266899246686027,0.0003196182917920384,41.859295,12.559595,74.0
elite,progressions,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.666990050649607,0.006245225769897976,41.85927333,12.55955667,74.0
elite,progressions,acquedotti,22,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1386914056585002,0,41.85924667,12.55951833,74.0
elite,progressions,acquedotti,23,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.266575947880471,0,41.85921833,12.559515,74.0
elite,progressions,acquedotti,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.215052301186512,0,41.85918833,12.55952833,74.0
elite,progressions,acquedotti,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1682871477901737,0,41.85910667,12.559585,74.0
elite,progressions,acquedotti,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2514192732490392,0,41.85907333,12.559605,74.0
elite,progressions,acquedotti,27,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2367479359304605,0,41.85903833,12.55962667,74.0
elite,progressions,acquedotti,28,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.118203188570199,0.002347697768467811,41.859005,12.55964333,75.0
