athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,progressions,belfiore,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.739367707331125,0.0007087100470327123,45.189325,10.79284167,37.0
elite,progressions,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.632089980239791,0,45.18932167,10.79282,37.0
elite,progressions,belfiore,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1168138203288303,0,45.189325,10.79279833,36.0
elite,progressions,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.642158670296013,0.0011620944304924097,45.18932667,10.79278,35.0
elite,progressions,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.645815144838623,0.013984865014388425,45.18933167,10.792755,35.0
elite,progressions,belfiore,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2260271320115694,0,45.18933833,10.79272333,34.0
elite,progressions,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6806669473955687,0.006811088988548139,45.18934167,10.79269167,33.0
elite,progressions,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5687360934067858,0,45.18934167,10.792665,32.0
elite,progressions,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5644591554619502,0,45.189345,10.79263833,31.0
elite,progressions,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5013510963889294,0.01436312254755837,45.18935167,10.792615,31.0
elite,progressions,belfiore,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.256111540346091,0,45.189355,10.79258667,30.0
elite,progressions,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.564887226840453,0,45.189355,10.79256,29.0
elite,progressions,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.653275936172079,0.00433576690381135,45.18936,10.79252833,29.0
elite,progressions,belfiore,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1632486251334075,0,45.18936167,10.79250167,28.0
elite,progressions,belfiore,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5640471950654384,0.006801563180748193,45.18936167,10.79247167,28.0
elite,progressions,belfiore,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.295997441389775,0,45.18936333,10.79244,27.0
elite,progressions,belfiore,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5557156463540935,0.0025239912229156783,45.189365,10.79241,27.0
elite,progressions,belfiore,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.204043565789204,0,45.18936833,10.79238,27.0
elite,progressions,belfiore,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2748676592675308,0,45.18937,10.79235,27.0
elite,progressions,belfiore,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2443548016220474,0,45.18936833,10.79231833,26.0
elite,progressions,belfiore,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.63572808838085,0.010119938370023398,45.18937,10.792285,26.0
elite,progressions,belfiore,22,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1297475723411523,0.0019320236255641252,45.18937,10.79225333,25.0
elite,progressions,belfiore,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6619741145934483,0.015901155275623993,45.18937167,10.79221833,25.0
elite,progressions,belfiore,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.149530866251937,0,45.18937333,10.79218667,25.0
elite,progressions,belfiore,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1130294314101343,0.0018628693996999748,45.189375,10.79215833,25.0
elite,progressions,belfiore,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.147163031902018,0,45.18937333,10.79213167,25.0
elite,progressions,belfiore,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.194370345301746,0,45.18937167,10.792105,24.0
elite,progressions,belfiore,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5571903156114324,0.01226841777429953,45.18937,10.792075,24.0
elite,progressions,belfiore,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.165150516255705,0,45.18936667,10.79204167,24.0
elite,progressions,belfiore,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1414763856160803,0,45.18936667,10.79201167,24.0
elite,progressions,belfiore,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.199347341054966,0,45.18936667,10.79198333,24.0
elite,progressions,belfiore,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1618943386169325,0,45.18936667,10.791955,24.0
elite,progressions,belfiore,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.279251502521334,0,45.18936833,10.79193,24.0
elite,progressions,belfiore,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.113625169397441,0,45.18937,10.7919,24.0
elite,progressions,belfiore,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.251159239169329,0,45.18937167,10.79186833,24.0
elite,progressions,belfiore,36,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2154425338920913,0,45.18937333,10.79184,24.0
elite,progressions,belfiore,37,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1105565199703262,0,45.189375,10.79181333,24.0
elite,progressions,belfiore,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.253036983464075,0,45.18937667,10.79178667,24.0
elite,progressions,belfiore,39,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1681225231627432,0,45.18937833,10.79176,25.0
elite,progressions,belfiore,40,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6249833119914783,0.00027184836620255845,45.18938,10.79173167,25.0
