athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,progressions,tre_laghi,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.764385432576098,0,45.18933,10.79333333,93.0
elite,progressions,tre_laghi,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5984563121306135,0,45.18926,10.79329333,91.0
elite,progressions,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6023175452268066,0,45.18926333,10.79323667,90.0
elite,progressions,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5104257877012817,0,45.18929667,10.79316667,88.0
elite,progressions,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5112495442037623,0.006244612962328897,45.18930833,10.793115,85.0
elite,progressions,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6905169490860184,0.01257074843081884,45.18930667,10.79308167,80.0
elite,progressions,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5133291426560156,0.0034814043163941774,45.18930833,10.79303667,76.0
elite,progressions,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6365035739536036,0,45.18930667,10.79298333,72.0
elite,progressions,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5730521349926736,0,45.18931333,10.79293833,69.0
elite,progressions,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6713031012924464,0,45.189315,10.79289167,66.0
elite,progressions,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6122930083486815,0.003446070585847383,45.18931667,10.79285667,64.0
elite,progressions,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6147477623227657,0,45.18931833,10.792825,61.0
elite,progressions,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6629319761081858,0,45.18931667,10.79279333,60.0
elite,progressions,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5734997269406295,0.010905440545896691,45.18931667,10.79277167,58.0
elite,progressions,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5638225152004765,0.021644398149266966,45.18931833,10.79274667,56.0
elite,progressions,tre_laghi,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5843174471881882,0.008533296045268599,45.18932167,10.79271833,55.0
elite,progressions,tre_laghi,17,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5298204505782422,0.008881193476473223,45.18932333,10.79268833,54.0
elite,progressions,tre_laghi,18,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.664978481611677,0.0015557399089531877,45.189325,10.79265167,53.0
