athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,recovery,acquedotti,1,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,4.00348746539441,0,41.85956,12.56004167,75.0
elite,recovery,acquedotti,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.596562337592376,0,41.85954167,12.56003,74.0
elite,recovery,acquedotti,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5627606815557944,0.0035376239743067344,41.859525,12.56001167,73.0
elite,recovery,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.563192857143556,0,41.85951,12.55999333,73.0
elite,recovery,acquedotti,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.508946366010269,0,41.859495,12.559975,73.0
elite,recovery,acquedotti,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6197153752671087,0.009227335009647343,41.85948333,12.55996,72.0
elite,recovery,acquedotti,7,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5094121054679897,0,41.85947167,12.55994333,72.0
elite,recovery,acquedotti,8,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.531772278643047,0,41.85945833,12.55992,72.0
elite,recovery,acquedotti,9,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6166713775072443,0,41.85944667,12.55988833,72.0
elite,recovery,acquedotti,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.572450171836112,0,41.85943667,12.55986667,72.0
elite,recovery,acquedotti,11,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.692650833559071,0,41.85942667,12.55984667,72.0
elite,recovery,acquedotti,12,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6148225623715686,0,41.85941833,12.55982667,72.0
elite,recovery,acquedotti,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.635074628632942,0.011565440116464454,41.859405,12.55980333,72.0
elite,recovery,acquedotti,14,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.581071482802148,0.018701602954528156,41.859395,12.55978,73.0
elite,recovery,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6086893028462397,0.019219301887624565,41.85937833,12.55974833,73.0
elite,recovery,acquedotti,16,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5947436721794195,0.023802272026883363,41.85935833,12.55971667,73.0
elite,recovery,acquedotti,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5335023215510906,0.021497105269063014,41.85934167,12.55968667,73.0
elite,recovery,acquedotti,18,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5402259859350433,0.028453951713891052,41.85932833,12.55965833,73.0
elite,recovery,acquedotti,19,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5892898280789547,0.018757858106743977,41.859315,12.55963,73.0
elite,recovery,acquedotti,20,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.5538609638250938,0.001036622825055714,41.859295,12.559595,74.0
elite,recovery,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6440714593888366,0.007503321402780192,41.85927333,12.55955667,74.0
elite,recovery,acquedotti,22,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6708372784122028,0.012839479645284944,41.85924667,12.55951833,74.0
elite,recovery,acquedotti,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.596238314741849,0.023744963653390197,41.85921833,12.559515,74.0
elite,recovery,acquedotti,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.593017722766596,0.0035956613240102782,41.85918833,12.55952833,74.0
