athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,recovery,belfiore,1,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,4.185502486484102,0,45.189325,10.79284167,37.0
elite,recovery,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5656277741838336,0.002732532344731559,45.18932167,10.79282,37.0
elite,recovery,belfiore,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6068875676855687,0,45.189325,10.79279833,36.0
elite,recovery,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6661290218341738,0,45.18932667,10.79278,35.0
elite,recovery,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.558567348036882,1.3299659779539024e-05,45.18933167,10.792755,35.0
elite,recovery,belfiore,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.546629705701298,0.00702423892000542,45.18933833,10.79272333,34.0
elite,recovery,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6787196229090506,0.015109231716888053,45.18934167,10.79269167,33.0
elite,recovery,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5183897829420996,0,45.18934167,10.792665,32.0
elite,recovery,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.549666484768362,0.009139887431644816,45.189345,10.79263833,31.0
elite,recovery,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5214059074714092,0.01748222273569517,45.18935167,10.792615,31.0
elite,recovery,belfiore,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.569695070965882,0.013815751403957906,45.189355,10.79258667,30.0
elite,recovery,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.661319449522217,0.020220655294842772,45.189355,10.79256,29.0
elite,recovery,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6463815389998055,0.01783456281652399,45.18936,10.79252833,29.0
elite,recovery,belfiore,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5078470733728384,0.02727110449467998,45.18936167,10.79250167,28.0
elite,recovery,belfiore,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5478814953919935,0.025225177260957278,45.18936167,10.79247167,28.0
elite,recovery,belfiore,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.52005271429579,0.025014006095691464,45.18936333,10.79244,27.0
elite,recovery,belfiore,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5398601275662607,0.01097628348631337,45.189365,10.79241,27.0
elite,recovery,belfiore,18,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5359275295512296,0.013048668878404113,45.18936833,10.79238,27.0
elite,recovery,belfiore,19,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5910710234785594,0,45.18937,10.79235,27.0
elite,recovery,belfiore,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6325794875743393,0.014192899116703803,45.18936833,10.79231833,26.0
elite,recovery,belfiore,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.55110917213966,0.015601463829169054,45.18937,10.792285,26.0
elite,recovery,belfiore,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.666063557119957,0.012877641860098616,45.18937,10.79225333,25.0
elite,recovery,belfiore,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.609741512704985,0.017756774151910227,45.18937167,10.79221833,25.0
elite,recovery,belfiore,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6341148628468467,0.014556953843542672,45.18937333,10.79218667,25.0
elite,recovery,belfiore,25,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.543805029117841,0.012332692520146534,45.189375,10.79215833,25.0
elite,recovery,belfiore,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.670864949464539,0.007685363157240401,45.18937333,10.79213167,25.0
elite,recovery,belfiore,27,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.571497177160059,0.014350026725250868,45.18937167,10.792105,24.0
elite,recovery,belfiore,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.609955507285611,0.016867670617172658,45.18937,10.792075,24.0
elite,recovery,belfiore,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5744111206114795,0.021786121646693534,45.18936667,10.79204167,24.0
elite,recovery,belfiore,30,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.661807060275807,0.029336155511154063,45.18936667,10.79201167,24.0
elite,recovery,belfiore,31,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.667287187444475,0.03282395307602222,45.18936667,10.79198333,24.0
elite,recovery,belfiore,32,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.69129368123994,0.03468449569714127,45.18936667,10.791955,24.0
elite,recovery,belfiore,33,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.600073153067532,0.03709642081941937,45.18936833,10.79193,24.0
elite,recovery,belfiore,34,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5625578263678315,0.027006432950406545,45.18937,10.7919,24.0
elite,recovery,belfiore,35,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6468761919233676,0.008485357754269902,45.18937167,10.79186833,24.0
elite,recovery,belfiore,36,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.62445386540689,0.014344532601198041,45.18937333,10.79184,24.0
elite,recovery,belfiore,37,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.54895153488451,0.019956587073829427,45.189375,10.79181333,24.0
elite,recovery,belfiore,38,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6034717935949194,0.005957615578720371,45.18937667,10.79178667,24.0
elite,recovery,belfiore,39,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.5168021339240005,0.016602320288424243,45.18937833,10.79176,25.0
elite,recovery,belfiore,40,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.69531212923235,0.024247641187730158,45.18938,10.79173167,25.0
elite,recovery,belfiore,41,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5451034410557294,0.024580548428609038,45.18938,10.791705,25.0
elite,recovery,belfiore,42,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.520971917328004,0.028753866743748094,45.18938333,10.79167833,25.0
elite,recovery,belfiore,43,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.572688622865027,0.03234119508201303,45.18938333,10.79165333,25.0
elite,recovery,belfiore,44,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.623116630302188,0.010501499470888773,45.18938333,10.791625,25.0
elite,recovery,belfiore,45,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.670812194373432,0.014177593021373221,45.18938167,10.79159333,25.0
elite,recovery,belfiore,46,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5749619921344546,0.018978497341561408,45.189385,10.79156667,25.0
elite,recovery,belfiore,47,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.56620193286712,0.0036143619135049197,45.18939167,10.79154333,25.0
elite,recovery,belfiore,48,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6717913699470346,0.015415962727226765,45.189395,10.79151667,25.0
elite,recovery,belfiore,49,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.507507344384049,0.014806187020211116,45.18939833,10.79149,25.0
elite,recovery,belfiore,50,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5084401561947596,0.02106750095632125,45.1894,10.79146167,25.0
elite,recovery,belfiore,51,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5101898041844084,0.02905758079411579,45.1894,10.791435,25.0
elite,recovery,belfiore,52,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5133909125880733,0.014636837751551966,45.18940167,10.79140667,25.0
elite,recovery,belfiore,53,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6516738741074644,0.010657983690280346,45.189405,10.79138167,24.0
elite,recovery,belfiore,54,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6914583436792547,0.010163541489096196,45.18940667,10.79135833,24.0
elite,recovery,belfiore,55,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.546794241758919,0.002828139820269409,45.18941,10.79133333,24.0
