athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,recovery,tre_laghi,1,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,4.179291989784512,0,45.18933,10.79333333,93.0
elite,recovery,tre_laghi,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5484634739771583,0.01077732395156874,45.18926,10.79329333,91.0
elite,recovery,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.528463601599687,0.01416553789877115,45.18926333,10.79323667,90.0
elite,recovery,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6649476901454934,0.004103877724607653,45.18929667,10.79316667,88.0
elite,recovery,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5652062079134272,0.016059771533682883,45.18930833,10.793115,85.0
elite,recovery,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.676302843106261,0.01203347964386624,45.18930667,10.79308167,80.0
elite,recovery,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.681433857519629,0,45.18930833,10.79303667,76.0
elite,recovery,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6380802637323892,0.0017463844700442769,45.18930667,10.79298333,72.0
elite,recovery,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5539430642866874,0.009557451604021551,45.18931333,10.79293833,69.0
elite,recovery,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5584943046895052,0.004021650993077216,45.189315,10.79289167,66.0
elite,recovery,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.528547702083822,0.017430002000230194,45.18931667,10.79285667,64.0
elite,recovery,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.632561968430411,0.020297681665615026,45.18931833,10.792825,61.0
elite,recovery,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.631967295357296,0.01696179322046714,45.18931667,10.79279333,60.0
elite,recovery,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.524712172686544,0.01645470185306101,45.18931667,10.79277167,58.0
elite,recovery,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5281067689607846,0.025547397705136383,45.18931833,10.79274667,56.0
elite,recovery,tre_laghi,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.558462721811779,0.013804340106308318,45.18932167,10.79271833,55.0
elite,recovery,tre_laghi,17,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.693448270860117,0.008339505569351167,45.18932333,10.79268833,54.0
elite,recovery,tre_laghi,18,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.584037102925599,0.015706637887707157,45.189325,10.79265167,53.0
elite,recovery,tre_laghi,19,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6490648740475846,0.015976944749124946,45.18932667,10.792625,52.0
elite,recovery,tre_laghi,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6393317336177757,0.025241176254849708,45.18932667,10.7926,51.0
elite,recovery,tre_laghi,21,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.683231591199715,0.031185265418484393,45.18933,10.79257333,50.0
elite,recovery,tre_laghi,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6450213554423736,0.013815558172103056,45.18933,10.79254833,49.0
elite,recovery,tre_laghi,23,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.508748302583683,0.010529193563065538,45.18932833,10.79251833,48.0
elite,recovery,tre_laghi,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6902315039245455,0.009084480027450123,45.18932833,10.79249,48.0
elite,recovery,tre_laghi,25,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5459447556572417,0.0021467876595461645,45.18932833,10.79246167,47.0
elite,recovery,tre_laghi,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.68349597351995,0,45.18933,10.79243167,47.0
elite,recovery,tre_laghi,27,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6797234472901343,0.005491673199333311,45.18933,10.79240333,46.0
elite,recovery,tre_laghi,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.538387443128747,0.0010946873416060423,45.18933167,10.792375,46.0
elite,recovery,tre_laghi,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.579481645138593,0,45.18933333,10.79234833,46.0
elite,recovery,tre_laghi,30,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.589084226124628,0,45.189335,10.79232,46.0
elite,recovery,tre_laghi,31,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.556091033288648,0.00478558580372535,45.18933667,10.79229333,45.0
elite,recovery,tre_laghi,32,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6283069713440903,0.01167691934292004,45.18933833,10.79226167,45.0
elite,recovery,tre_laghi,33,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5429747046343834,0.0033314214806578622,45.18934167,10.79223167,45.0
elite,recovery,tre_laghi,34,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.689305931635583,0.016775012766848223,45.18934667,10.79220167,45.0
elite,recovery,tre_laghi,35,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.559636990459298,0.01782247098542834,45.18935,10.792175,45.0
elite,recovery,tre_laghi,36,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6233991523452245,0.016045448213718595,45.18935333,10.79215,44.0
elite,recovery,tre_laghi,37,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5259232816714148,0.004138953474124653,45.18935667,10.79212167,44.0
elite,recovery,tre_laghi,38,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6407139126037587,0,45.18935833,10.79209333,44.0
elite,recovery,tre_laghi,39,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.583345135453587,0.009420435596137132,45.18935833,10.792065,44.0
elite,recovery,tre_laghi,40,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.577751724760386,0.01581327810942506,45.18935833,10.79203667,44.0
elite,recovery,tre_laghi,41,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.588839564938963,0,45.18936167,10.792005,44.0
elite,recovery,tre_laghi,42,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.557991000880438,0.005899599390929909,45.189365,10.79197167,43.0
elite,recovery,tre_laghi,43,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6420934947145853,0,45.189365,10.79193833,43.0
