athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,endurance,acquedotti,1,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,4.060839273739442,0,41.85956,12.56004167,75.0
runner,endurance,acquedotti,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.561987696708863,0,41.85954167,12.56003,74.0
runner,endurance,acquedotti,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5211942425053833,0,41.859525,12.56001167,73.0
runner,endurance,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6115390606857387,0.009881607316861505,41.85951,12.55999333,73.0
runner,endurance,acquedotti,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6101881359739325,0.030215440716127744,41.859495,12.559975,73.0
runner,endurance,acquedotti,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6766197135626286,0.013805357300370271,41.85948333,12.55996,72.0
runner,endurance,acquedotti,7,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5386156719624857,0.02576150478168459,41.85947167,12.55994333,72.0
runner,endurance,acquedotti,8,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.698240110151217,0.010479505257137174,41.85945833,12.55992,72.0
runner,endurance,acquedotti,9,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5643165902367238,0.031963940951110735,41.85944667,12.55988833,72.0
runner,endurance,acquedotti,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.535953551193849,0.04240833877443925,41.85943667,12.55986667,72.0
runner,endurance,acquedotti,11,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.683039682467209,0.04395325582762768,41.85942667,12.55984667,72.0
runner,endurance,acquedotti,12,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5434042998257533,0.04565126668455766,41.85941833,12.55982667,72.0
runner,endurance,acquedotti,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.595162747186798,0.05938992523140194,41.859405,12.55980333,72.0
runner,endurance,acquedotti,14,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.555198076023946,0.04368913763841209,41.859395,12.55978,73.0
runner,endurance,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.635834547304712,0.04550032968181741,41.85937833,12.55974833,73.0
runner,endurance,acquedotti,16,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6881853969043816,0.048835072850979724,41.85935833,12.55971667,73.0
runner,endurance,acquedotti,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.581915636666069,0.034248912663617855,41.85934167,12.55968667,73.0
runner,endurance,acquedotti,18,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.683530692953321,0.045043822887095485,41.85932833,12.55965833,73.0
runner,endurance,acquedotti,19,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.67524250940431,0.052660361693033,41.859315,12.55963,73.0
runner,endurance,acquedotti,20,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.6574515214076024,0.06851534271155124,41.859295,12.559595,74.0
runner,endurance,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6082959570566153,0.08384182670562262,41.85927333,12.55955667,74.0
runner,endurance,acquedotti,22,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6188792969577914,0.09635004870345662,41.85924667,12.55951833,74.0
runner,endurance,acquedotti,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5411854700815573,0.10464196020648481,41.85921833,12.559515,74.0
runner,endurance,acquedotti,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5919385934208017,0.12407866019822814,41.85918833,12.55952833,74.0
runner,endurance,acquedotti,25,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.678770011725164,0.13893374394922828,41.85910667,12.559585,74.0
runner,endurance,acquedotti,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5524373720090487,0.1280163321969837,41.85907333,12.559605,74.0
runner,endurance,acquedotti,27,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5335486123153714,0.1467697229823612,41.85903833,12.55962667,74.0
runner,endurance,acquedotti,28,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.6462056351985743,0.1570736514537888,41.859005,12.55964333,75.0
runner,endurance,acquedotti,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6039723057894086,0.17690183912527352,41.85897667,12.55965,75.0
runner,endurance,acquedotti,30,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6616475099815347,0.17462455099528296,41.85895667,12.559645,75.0
runner,endurance,acquedotti,31,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.643293343550811,0.16715032803273647,41.85893667,12.55962667,75.0
runner,endurance,acquedotti,32,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6436840050988506,0.16366528116447096,41.85894,12.55959167,75.0
runner,endurance,acquedotti,33,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.664654015374072,0.17102105775538964,41.85893167,12.55955333,74.0
runner,endurance,acquedotti,34,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6871338513486513,0.18079529323542143,41.858935,12.55951333,74.0
runner,endurance,acquedotti,35,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6157173404031995,0.16787483845372156,41.85892,12.55947333,74.0
runner,endurance,acquedotti,36,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5276743666053196,0.16328314359559903,41.85891333,12.559425,74.0
runner,endurance,acquedotti,37,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.578380832586671,0.1599721672964678,41.85890333,12.55939833,74.0
runner,endurance,acquedotti,38,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.641724650228447,0.14993031435845253,41.85889333,12.55939833,74.0
