athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,endurance,belfiore,1,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,4.187072232790307,0.015531243547403607,45.189325,10.79284167,37.0
runner,endurance,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.568208106783854,0.023186102620936455,45.18932167,10.79282,37.0
runner,endurance,belfiore,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.632880561646952,0.039112995609483676,45.189325,10.79279833,36.0
runner,endurance,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.644727452879185,0.048327665414294965,45.18932667,10.79278,35.0
runner,endurance,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.65924760051012,0.035145480997304065,45.18933167,10.792755,35.0
runner,endurance,belfiore,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5222662596015235,0.03939287388466615,45.18933833,10.79272333,34.0
runner,endurance,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.523978373917572,0.03078805148723688,45.18934167,10.79269167,33.0
runner,endurance,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.513649975680176,0.017423797880058135,45.18934167,10.792665,32.0
runner,endurance,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.557289207106197,0.01062339298398738,45.189345,10.79263833,31.0
runner,endurance,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6247712827073326,0.01069607026702231,45.18935167,10.792615,31.0
runner,endurance,belfiore,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5120201378098996,0.02860446564384636,45.189355,10.79258667,30.0
runner,endurance,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5283747030965755,0.04166816179442462,45.189355,10.79256,29.0
runner,endurance,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.674031018077742,0.038637317037003654,45.18936,10.79252833,29.0
runner,endurance,belfiore,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.574756283485641,0.03294341337575467,45.18936167,10.79250167,28.0
