athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,endurance,tre_laghi,1,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,4.121535527187273,0.009388904542394329,45.18933,10.79333333,93.0
runner,endurance,tre_laghi,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5796773787837073,0.006494714889674713,45.18926,10.79329333,91.0
runner,endurance,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6354773839104793,0.006792695807894017,45.18926333,10.79323667,90.0
runner,endurance,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.610532923389096,0.01107871865201236,45.18929667,10.79316667,88.0
runner,endurance,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.586139681641689,0.0009172220285821805,45.18930833,10.793115,85.0
runner,endurance,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5879376245092267,0,45.18930667,10.79308167,80.0
runner,endurance,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.629198206716344,0,45.18930833,10.79303667,76.0
runner,endurance,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5649104141115533,0,45.18930667,10.79298333,72.0
runner,endurance,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.675847679063236,0.013784509310537372,45.18931333,10.79293833,69.0
runner,endurance,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5419466630609495,0.02728186109381796,45.189315,10.79289167,66.0
runner,endurance,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.648407651199028,0.01288347136126519,45.18931667,10.79285667,64.0
runner,endurance,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.611083787809225,0.03195305595865906,45.18931833,10.792825,61.0
runner,endurance,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.611945476164638,0.039452452232138474,45.18931667,10.79279333,60.0
runner,endurance,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6904443851863737,0.04678282318866231,45.18931667,10.79277167,58.0
runner,endurance,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5482878683670047,0.05858742565835319,45.18931833,10.79274667,56.0
runner,endurance,tre_laghi,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.639148653377458,0.06156070923700201,45.18932167,10.79271833,55.0
runner,endurance,tre_laghi,17,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6951909594106187,0.08336706659657236,45.18932333,10.79268833,54.0
runner,endurance,tre_laghi,18,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.647574901336619,0.09738120765011499,45.189325,10.79265167,53.0
runner,endurance,tre_laghi,19,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6841756154644147,0.0832332108029646,45.18932667,10.792625,52.0
runner,endurance,tre_laghi,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.696451207608982,0.08933022557973554,45.18932667,10.7926,51.0
runner,endurance,tre_laghi,21,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6968451135439904,0.08520796650257176,45.18933,10.79257333,50.0
runner,endurance,tre_laghi,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6624221665285663,0.082983486617162,45.18933,10.79254833,49.0
runner,endurance,tre_laghi,23,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.675300059935494,0.07570503637256903,45.18932833,10.79251833,48.0
runner,endurance,tre_laghi,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5350867157104284,0.09234290027426104,45.18932833,10.79249,48.0
runner,endurance,tre_laghi,25,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6046131205947414,0.09173448026556347,45.18932833,10.79246167,47.0
runner,endurance,tre_laghi,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5527488522839534,0.10904478090653724,45.18933,10.79243167,47.0
runner,endurance,tre_laghi,27,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6678070460977295,0.10811528524755548,45.18933,10.79240333,46.0
runner,endurance,tre_laghi,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5415386614710953,0.12971646846037438,45.18933167,10.792375,46.0
runner,endurance,tre_laghi,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.677545619370076,0.1274619859549124,45.18933333,10.79234833,46.0
runner,endurance,tre_laghi,30,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.624147707338903,0.1145466955890516,45.189335,10.79232,46.0
runner,endurance,tre_laghi,31,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5089276515387646,0.12411572974730943,45.18933667,10.79229333,45.0
runner,endurance,tre_laghi,32,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6581083988756653,0.12651992653137303,45.18933833,10.79226167,45.0
runner,endurance,tre_laghi,33,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.545670450672821,0.12333386431226043,45.18934167,10.79223167,45.0
runner,endurance,tre_laghi,34,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.529109697922641,0.10834601939753917,45.18934667,10.79220167,45.0
runner,endurance,tre_laghi,35,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.62608046272239,0.10702065266916268,45.18935,10.792175,45.0
runner,endurance,tre_laghi,36,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.684459297866531,0.11399801682639749,45.18935333,10.79215,44.0
runner,endurance,tre_laghi,37,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5356906190173127,0.12284607978193247,45.18935667,10.79212167,44.0
