athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,fartlek,acquedotti,1,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,3.7862620216606224,0,41.85956,12.56004167,75.0
runner,fartlek,acquedotti,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1058988893851174,0,41.85954167,12.56003,74.0
runner,fartlek,acquedotti,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.614195032955657,0.013428952841566238,41.859525,12.56001167,73.0
runner,fartlek,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5994703922371114,0.021640168443125326,41.85951,12.55999333,73.0
runner,fartlek,acquedotti,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.226356065180092,0.0002369428776581653,41.859495,12.559975,73.0
runner,fartlek,acquedotti,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.273869260399218,0,41.85948333,12.55996,72.0
runner,fartlek,acquedotti,7,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6169433278355405,0,41.85947167,12.55994333,72.0
runner,fartlek,acquedotti,8,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.165940291816151,0,41.85945833,12.55992,72.0
runner,fartlek,acquedotti,9,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2790340368344495,0,41.85944667,12.55988833,72.0
runner,fartlek,acquedotti,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.153315900360102,0,41.85943667,12.55986667,72.0
runner,fartlek,acquedotti,11,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1563555115531328,0,41.85942667,12.55984667,72.0
runner,fartlek,acquedotti,12,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2027047678406846,0,41.85941833,12.55982667,72.0
runner,fartlek,acquedotti,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1006863858884643,0,41.859405,12.55980333,72.0
runner,fartlek,acquedotti,14,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1033872584144455,0,41.859395,12.55978,73.0
runner,fartlek,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.665754651203435,0.019135986853723332,41.85937833,12.55974833,73.0
runner,fartlek,acquedotti,16,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.280581798195548,0,41.85935833,12.55971667,73.0
runner,fartlek,acquedotti,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.109754720559473,0,41.85934167,12.55968667,73.0
runner,fartlek,acquedotti,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1055988637788485,0,41.85932833,12.55965833,73.0
runner,fartlek,acquedotti,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2029385831249257,0,41.859315,12.55963,73.0
runner,fartlek,acquedotti,20,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1967727056261084,0,41.859295,12.559595,74.0
runner,fartlek,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6462163695295358,0,41.85927333,12.55955667,74.0
runner,fartlek,acquedotti,22,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2441943605702015,0,41.85924667,12.55951833,74.0
runner,fartlek,acquedotti,23,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2782165174234685,0,41.85921833,12.559515,74.0
runner,fartlek,acquedotti,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1152549696610894,0,41.85918833,12.55952833,74.0
runner,fartlek,acquedotti,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.283298010887621,0,41.85910667,12.559585,74.0
runner,fartlek,acquedotti,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.263223047174373,0,41.85907333,12.559605,74.0
runner,fartlek,acquedotti,27,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.187768126932931,0,41.85903833,12.55962667,74.0
runner,fartlek,acquedotti,28,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.262623701198317,0,41.859005,12.55964333,75.0
runner,fartlek,acquedotti,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.694516508424952,0.019383163392463886,41.85897667,12.55965,75.0
runner,fartlek,acquedotti,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2246097353689547,0,41.85895667,12.559645,75.0
runner,fartlek,acquedotti,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.267233889812894,0,41.85893667,12.55962667,75.0
runner,fartlek,acquedotti,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.177598928336915,0,41.85894,12.55959167,75.0
runner,fartlek,acquedotti,33,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.295952382633278,0,41.85893167,12.55955333,74.0
runner,fartlek,acquedotti,34,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.602474991034269,0.0025548589709994797,41.858935,12.55951333,74.0
runner,fartlek,acquedotti,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.217978529501985,0,41.85892,12.55947333,74.0
runner,fartlek,acquedotti,36,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2863576019330694,0,41.85891333,12.559425,74.0
runner,fartlek,acquedotti,37,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.169711883468326,0,41.85890333,12.55939833,74.0
runner,fartlek,acquedotti,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.169409152303731,0,41.85889333,12.55939833,74.0
runner,fartlek,acquedotti,39,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.112450093035913,0,41.85887667,12.55938,74.0
runner,fartlek,acquedotti,40,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.2264818048597075,0,41.85886333,12.55936,75.0
runner,fartlek,acquedotti,41,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6759692761967826,0.005492475872425088,41.85885333,12.559325,75.0
runner,fartlek,acquedotti,42,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.118381089149493,0,41.85884167,12.55930667,75.0
runner,fartlek,acquedotti,43,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.125384924481141,0,41.85882667,12.55928667,75.0
runner,fartlek,acquedotti,44,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.298468562817546,0,41.85881333,12.55925833,75.0
runner,fartlek,acquedotti,45,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1914275120118067,0,41.85879667,12.55923833,76.0
runner,fartlek,acquedotti,46,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.666869449396833,0.005223965016938376,41.85877833,12.55922,76.0
runner,fartlek,acquedotti,47,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1628595301428315,0,41.85876,12.559195,76.0
runner,fartlek,acquedotti,48,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.138652555710295,0,41.85874167,12.55916,76.0
runner,fartlek,acquedotti,49,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1909256568347537,0,41.85872833,12.55911,77.0
runner,fartlek,acquedotti,50,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5093514594638933,0.003314172438901552,41.85872167,12.55904833,77.0
runner,fartlek,acquedotti,51,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2921024371673746,0,41.85870667,12.55902167,77.0
runner,fartlek,acquedotti,52,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.115710975233727,0,41.858705,12.55896667,77.0
runner,fartlek,acquedotti,53,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.142892922563538,0,41.85869667,12.55894,77.0
runner,fartlek,acquedotti,54,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1510308757794854,0,41.85867333,12.55895833,77.0
runner,fartlek,acquedotti,55,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.190992037631066,0,41.85863333,12.559,77.0
runner,fartlek,acquedotti,56,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.133333136118178,0,41.8586,12.55905333,77.0
runner,fartlek,acquedotti,57,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1822280368572406,0,41.85856,12.559115,76.0
runner,fartlek,acquedotti,58,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5954482814278035,0.01660869388263925,41.85854,12.55913,76.0
runner,fartlek,acquedotti,59,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2038681605257135,0.004534027578852812,41.85852167,12.55912667,75.0
runner,fartlek,acquedotti,60,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6587753930765756,0.018665585761800052,41.85850333,12.55911833,75.0
runner,fartlek,acquedotti,61,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2634673197875133,0.010315689653337207,41.85849167,12.55911,74.0
runner,fartlek,acquedotti,62,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5184688809246127,0.006629327556447071,41.85848667,12.55909833,74.0
runner,fartlek,acquedotti,63,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.168894709043382,0.00030048823608406095,41.85848,12.55908833,73.0
runner,fartlek,acquedotti,64,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.640483071354015,0.0031085871208938517,41.85847167,12.559075,73.0
runner,fartlek,acquedotti,65,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.234044330578406,0,41.85845667,12.55906,73.0
runner,fartlek,acquedotti,66,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2051145048501244,0,41.85844333,12.55905,72.0
runner,fartlek,acquedotti,67,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5795306888134713,0.02030068413785621,41.85843167,12.55903833,72.0
runner,fartlek,acquedotti,68,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1165090205414705,0.013976885399099189,41.85842333,12.55902667,72.0
runner,fartlek,acquedotti,69,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1946583309020453,0,41.85841833,12.55900667,72.0
runner,fartlek,acquedotti,70,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.154764806265151,0,41.858415,12.55898,72.0
runner,fartlek,acquedotti,71,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.264369823102404,0,41.85841167,12.558955,71.0
runner,fartlek,acquedotti,72,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.651701572509428,0.009603200824462761,41.85840167,12.55893,71.0
runner,fartlek,acquedotti,73,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1630799717337057,0,41.85839,12.55891333,71.0
runner,fartlek,acquedotti,74,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1301265525340507,0,41.858375,12.55889,71.0
runner,fartlek,acquedotti,75,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1341010117205474,0,41.85835667,12.55886833,71.0
runner,fartlek,acquedotti,76,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.167599181177285,0,41.85834167,12.55885,71.0
runner,fartlek,acquedotti,77,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.293305136242994,0,41.85833167,12.55882833,71.0
runner,fartlek,acquedotti,78,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.279306330242448,0,41.85831833,12.55881,71.0
runner,fartlek,acquedotti,79,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.168092592099163,0,41.85830667,12.55879333,70.0
runner,fartlek,acquedotti,80,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5891622155491865,0.016262968744204544,41.85829333,12.55877,70.0
runner,fartlek,acquedotti,81,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.144490972158287,0.010222010111475995,41.85828,12.55874167,70.0
runner,fartlek,acquedotti,82,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1860435243776375,0.0005420497057700667,41.85827167,12.55871,70.0
runner,fartlek,acquedotti,83,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2998962560669085,0,41.85826,12.55867833,70.0
runner,fartlek,acquedotti,84,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.201994066150253,0,41.85824667,12.55864667,70.0
runner,fartlek,acquedotti,85,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1771313389931004,0,41.85823167,12.55861333,70.0
runner,fartlek,acquedotti,86,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.16340882138074,0,41.85821333,12.55859167,70.0
runner,fartlek,acquedotti,87,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.238245957178429,0,41.85819833,12.55856833,70.0
runner,fartlek,acquedotti,88,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.26602154811047,0,41.85818,12.55855667,70.0
runner,fartlek,acquedotti,89,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2507032540013454,0,41.85816167,12.55855833,70.0
runner,fartlek,acquedotti,90,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.167610316760055,0,41.85814667,12.55855,71.0
runner,fartlek,acquedotti,91,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5152864292807355,0,41.85812333,12.55853333,71.0
runner,fartlek,acquedotti,92,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.152768258348098,0,41.85810833,12.55851667,71.0
runner,fartlek,acquedotti,93,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.237509813440148,0,41.85809667,12.55849333,71.0
runner,fartlek,acquedotti,94,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.265919006802956,0,41.858085,12.55846,71.0
runner,fartlek,acquedotti,95,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1528110126096807,0,41.85807667,12.55843667,71.0
runner,fartlek,acquedotti,96,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1478230960240583,0,41.858065,12.55840833,71.0
runner,fartlek,acquedotti,97,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.2508639496016785,0,41.858055,12.55838333,72.0
runner,fartlek,acquedotti,98,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5261137493659347,0,41.85804167,12.55836,72.0
runner,fartlek,acquedotti,99,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.169987178473987,0,41.85802667,12.55833833,72.0
runner,fartlek,acquedotti,100,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1000724015259657,0,41.85801333,12.55832833,72.0
runner,fartlek,acquedotti,101,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1789259967046433,0,41.85799833,12.55832667,73.0
runner,fartlek,acquedotti,102,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.598983234858606,0.016969571247929045,41.85798,12.55832333,73.0
runner,fartlek,acquedotti,103,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2423572130480895,0,41.857965,12.55830167,73.0
runner,fartlek,acquedotti,104,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2593830852339196,0,41.85795167,12.55827667,73.0
runner,fartlek,acquedotti,105,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.162434802744312,0,41.85793667,12.55825,73.0
runner,fartlek,acquedotti,106,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1989876420887278,0,41.857925,12.55823,73.0
runner,fartlek,acquedotti,107,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2241428352664503,0,41.85791167,12.55820333,73.0
runner,fartlek,acquedotti,108,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2519659055844414,0,41.8579,12.55818167,73.0
runner,fartlek,acquedotti,109,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.164560061623905,0,41.85788833,12.55815833,73.0
runner,fartlek,acquedotti,110,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.194813114482993,0,41.85787,12.558135,73.0
runner,fartlek,acquedotti,111,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2633007576834854,0,41.85785,12.55811,73.0
runner,fartlek,acquedotti,112,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.2802332479559975,0,41.857835,12.55808833,74.0
runner,fartlek,acquedotti,113,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6377704996116575,0.0019168096833810941,41.85781667,12.55806667,74.0
runner,fartlek,acquedotti,114,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2807687134005197,0,41.85779833,12.55804833,74.0
