athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,fartlek,belfiore,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.6800632106718787,0,45.189325,10.79284167,37.0
runner,fartlek,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.526727381018303,0,45.18932167,10.79282,37.0
runner,fartlek,belfiore,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.149832699356858,0,45.189325,10.79279833,36.0
runner,fartlek,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5070852801219745,0.002606746128479908,45.18932667,10.79278,35.0
runner,fartlek,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5105178882775823,0.009445277876911086,45.18933167,10.792755,35.0
runner,fartlek,belfiore,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1703638250142046,0,45.18933833,10.79272333,34.0
runner,fartlek,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.66187672808887,0.009232405949222151,45.18934167,10.79269167,33.0
runner,fartlek,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6829017966922137,0,45.18934167,10.792665,32.0
runner,fartlek,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5981806390587066,0.012623313390108106,45.189345,10.79263833,31.0
runner,fartlek,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5065771546359703,0.03508991547803627,45.18935167,10.792615,31.0
runner,fartlek,belfiore,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.110844211029209,0,45.189355,10.79258667,30.0
runner,fartlek,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5245974952310553,0,45.189355,10.79256,29.0
runner,fartlek,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.554204660159283,0.011907586825104528,45.18936,10.79252833,29.0
runner,fartlek,belfiore,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2035970167480308,0.0035049287318622523,45.18936167,10.79250167,28.0
runner,fartlek,belfiore,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5882244965605614,0,45.18936167,10.79247167,28.0
runner,fartlek,belfiore,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.195865109787768,0,45.18936333,10.79244,27.0
runner,fartlek,belfiore,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.512035515440651,0.01316101401105707,45.189365,10.79241,27.0
runner,fartlek,belfiore,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2929626120724986,0,45.18936833,10.79238,27.0
runner,fartlek,belfiore,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2840666197980717,0,45.18937,10.79235,27.0
runner,fartlek,belfiore,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2702702269837514,0,45.18936833,10.79231833,26.0
runner,fartlek,belfiore,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5358523865190494,0.008202996649371568,45.18937,10.792285,26.0
runner,fartlek,belfiore,22,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.183858286655232,0,45.18937,10.79225333,25.0
runner,fartlek,belfiore,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.665043459284976,0,45.18937167,10.79221833,25.0
runner,fartlek,belfiore,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.278028361749585,0,45.18937333,10.79218667,25.0
runner,fartlek,belfiore,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.145866479405039,0,45.189375,10.79215833,25.0
runner,fartlek,belfiore,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2100568361626953,0,45.18937333,10.79213167,25.0
runner,fartlek,belfiore,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2115899480042223,0,45.18937167,10.792105,24.0
runner,fartlek,belfiore,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5895900799438056,0,45.18937,10.792075,24.0
runner,fartlek,belfiore,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.10090357006904,0,45.18936667,10.79204167,24.0
runner,fartlek,belfiore,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.222546943248698,0,45.18936667,10.79201167,24.0
runner,fartlek,belfiore,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1719933517681937,0,45.18936667,10.79198333,24.0
runner,fartlek,belfiore,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.161223046767326,0,45.18936667,10.791955,24.0
runner,fartlek,belfiore,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2527528080021737,0,45.18936833,10.79193,24.0
runner,fartlek,belfiore,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.118239710751101,0,45.18937,10.7919,24.0
runner,fartlek,belfiore,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.28816208626183,0,45.18937167,10.79186833,24.0
runner,fartlek,belfiore,36,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1943209715048915,0,45.18937333,10.79184,24.0
runner,fartlek,belfiore,37,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.216879905067472,0,45.189375,10.79181333,24.0
runner,fartlek,belfiore,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1194646206029253,0,45.18937667,10.79178667,24.0
runner,fartlek,belfiore,39,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.299552503879443,0,45.18937833,10.79176,25.0
runner,fartlek,belfiore,40,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5196003484558833,0,45.18938,10.79173167,25.0
runner,fartlek,belfiore,41,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.125443770929719,0,45.18938,10.791705,25.0
runner,fartlek,belfiore,42,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2524356220275905,0,45.18938333,10.79167833,25.0
runner,fartlek,belfiore,43,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1041499994630595,0,45.18938333,10.79165333,25.0
runner,fartlek,belfiore,44,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.20102788559183,0,45.18938333,10.791625,25.0
runner,fartlek,belfiore,45,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2646245626703556,0,45.18938167,10.79159333,25.0
runner,fartlek,belfiore,46,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2963115676243535,0,45.189385,10.79156667,25.0
runner,fartlek,belfiore,47,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1960856978529555,0,45.18939167,10.79154333,25.0
runner,fartlek,belfiore,48,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2993358597425737,0,45.189395,10.79151667,25.0
runner,fartlek,belfiore,49,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.23193072909201,0,45.18939833,10.79149,25.0
runner,fartlek,belfiore,50,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1166926833871567,0,45.1894,10.79146167,25.0
runner,fartlek,belfiore,51,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1208668492556737,0,45.1894,10.791435,25.0
runner,fartlek,belfiore,52,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1813345169037333,0,45.18940167,10.79140667,25.0
runner,fartlek,belfiore,53,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2051405420645085,0,45.189405,10.79138167,24.0
runner,fartlek,belfiore,54,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.623237036202942,0,45.18940667,10.79135833,24.0
runner,fartlek,belfiore,55,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.22962636696891,0,45.18941,10.79133333,24.0
