athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,fartlek,tre_laghi,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.7971641318739575,0,45.18933,10.79333333,93.0
runner,fartlek,tre_laghi,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5528304916832534,0.002319667895046549,45.18926,10.79329333,91.0
runner,fartlek,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.53602114149469,0.01955118561045008,45.18926333,10.79323667,90.0
runner,fartlek,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5047435754143117,0.004243026545076144,45.18929667,10.79316667,88.0
runner,fartlek,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.578731389551486,0,45.18930833,10.793115,85.0
runner,fartlek,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.598853824815948,0,45.18930667,10.79308167,80.0
runner,fartlek,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5929138492179566,0.01909531897541984,45.18930833,10.79303667,76.0
runner,fartlek,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.572216090200149,0.029208554489795466,45.18930667,10.79298333,72.0
runner,fartlek,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5549588197317568,0.03373726698463457,45.18931333,10.79293833,69.0
runner,fartlek,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.568225318037349,0.041113817863570795,45.189315,10.79289167,66.0
runner,fartlek,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6919371389064346,0.02849536926336217,45.18931667,10.79285667,64.0
runner,fartlek,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5439865886232784,0.014211895267922246,45.18931833,10.792825,61.0
runner,fartlek,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5044181142559157,0.014620965609402736,45.18931667,10.79279333,60.0
runner,fartlek,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6262371213948894,0.026503480400607845,45.18931667,10.79277167,58.0
runner,fartlek,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5468526792242807,0.013202445980662347,45.18931833,10.79274667,56.0
runner,fartlek,tre_laghi,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5659717562994664,0.029524089793741284,45.18932167,10.79271833,55.0
runner,fartlek,tre_laghi,17,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5972815723472955,0.022833269287013333,45.18932333,10.79268833,54.0
runner,fartlek,tre_laghi,18,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5030507130893667,0.012415019148449846,45.189325,10.79265167,53.0
runner,fartlek,tre_laghi,19,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6574087127702066,0.012076155098332698,45.18932667,10.792625,52.0
runner,fartlek,tre_laghi,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6449394554732386,0.016411267299701337,45.18932667,10.7926,51.0
runner,fartlek,tre_laghi,21,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5023885843746094,0.023457449523920443,45.18933,10.79257333,50.0
runner,fartlek,tre_laghi,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5455049960479217,0.03330404219354254,45.18933,10.79254833,49.0
runner,fartlek,tre_laghi,23,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.518212146370462,0.018359208685910552,45.18932833,10.79251833,48.0
runner,fartlek,tre_laghi,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5737882730485424,0.020541221562814724,45.18932833,10.79249,48.0
runner,fartlek,tre_laghi,25,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1220639516195914,0,45.18932833,10.79246167,47.0
runner,fartlek,tre_laghi,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.615967456581318,0,45.18933,10.79243167,47.0
runner,fartlek,tre_laghi,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2271725723216544,0,45.18933,10.79240333,46.0
runner,fartlek,tre_laghi,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.62548102599373,0,45.18933167,10.792375,46.0
runner,fartlek,tre_laghi,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.157770211552779,0,45.18933333,10.79234833,46.0
runner,fartlek,tre_laghi,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2931006284862097,0,45.189335,10.79232,46.0
