athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,progressions,acquedotti,1,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,3.777630251553423,0,41.85956,12.56004167,75.0
runner,progressions,acquedotti,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.253866880064586,0,41.85954167,12.56003,74.0
runner,progressions,acquedotti,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6885465331000944,0,41.859525,12.56001167,73.0
runner,progressions,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6253218271803545,0.007764980813361617,41.85951,12.55999333,73.0
runner,progressions,acquedotti,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1983339859388287,0.0020537250319657956,41.859495,12.559975,73.0
runner,progressions,acquedotti,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.214996682224744,0,41.85948333,12.55996,72.0
runner,progressions,acquedotti,7,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.541204277288426,0,41.85947167,12.55994333,72.0
runner,progressions,acquedotti,8,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.124010841214357,0,41.85945833,12.55992,72.0
runner,progressions,acquedotti,9,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.106914988625297,0,41.85944667,12.55988833,72.0
runner,progressions,acquedotti,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.264202378978261,0,41.85943667,12.55986667,72.0
runner,progressions,acquedotti,11,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1512029786486266,0,41.85942667,12.55984667,72.0
runner,progressions,acquedotti,12,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1661998846481385,0,41.85941833,12.55982667,72.0
runner,progressions,acquedotti,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1316984993156116,0,41.859405,12.55980333,72.0
runner,progressions,acquedotti,14,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.276332368225437,0,41.859395,12.55978,73.0
runner,progressions,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.698359352923399,0,41.85937833,12.55974833,73.0
runner,progressions,acquedotti,16,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2443877697845735,0,41.85935833,12.55971667,73.0
runner,progressions,acquedotti,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.158380744879836,0,41.85934167,12.55968667,73.0
runner,progressions,acquedotti,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.123139881840503,0,41.85932833,12.55965833,73.0
runner,progressions,acquedotti,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2840341913173363,0,41.859315,12.55963,73.0
runner,progressions,acquedotti,20,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1445475019569815,0,41.859295,12.559595,74.0
runner,progressions,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.665790857204059,0,41.85927333,12.55955667,74.0
runner,progressions,acquedotti,22,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2737098473959683,0,41.85924667,12.55951833,74.0
runner,progressions,acquedotti,23,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2793408458262303,0,41.85921833,12.559515,74.0
runner,progressions,acquedotti,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.178539212334439,0,41.85918833,12.55952833,74.0
runner,progressions,acquedotti,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2882125797486026,0,41.85910667,12.559585,74.0
runner,progressions,acquedotti,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.161288862575013,0,41.85907333,12.559605,74.0
runner,progressions,acquedotti,27,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.118165871986414,0,41.85903833,12.55962667,74.0
runner,progressions,acquedotti,28,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1741524872140903,0,41.859005,12.55964333,75.0
runner,progressions,acquedotti,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6660242310777225,0,41.85897667,12.55965,75.0
runner,progressions,acquedotti,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1227567555217663,0,41.85895667,12.559645,75.0
runner,progressions,acquedotti,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1349619889207565,0,41.85893667,12.55962667,75.0
runner,progressions,acquedotti,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2650245363592507,0,41.85894,12.55959167,75.0
runner,progressions,acquedotti,33,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1821541906686077,0,41.85893167,12.55955333,74.0
runner,progressions,acquedotti,34,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5009526029393117,0,41.858935,12.55951333,74.0
runner,progressions,acquedotti,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.113558456702052,0,41.85892,12.55947333,74.0
runner,progressions,acquedotti,36,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1376510760765166,0,41.85891333,12.559425,74.0
runner,progressions,acquedotti,37,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.27394496461494,0,41.85890333,12.55939833,74.0
runner,progressions,acquedotti,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2186291700882705,0,41.85889333,12.55939833,74.0
runner,progressions,acquedotti,39,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2415185436978393,0,41.85887667,12.55938,74.0
runner,progressions,acquedotti,40,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.2185272413952113,0,41.85886333,12.55936,75.0
runner,progressions,acquedotti,41,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.509916903185909,0.018690455147296184,41.85885333,12.559325,75.0
runner,progressions,acquedotti,42,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.283216462856974,0,41.85884167,12.55930667,75.0
runner,progressions,acquedotti,43,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.148994275401025,0,41.85882667,12.55928667,75.0
runner,progressions,acquedotti,44,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.269964450678552,0,41.85881333,12.55925833,75.0
runner,progressions,acquedotti,45,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1244658511201706,0,41.85879667,12.55923833,76.0
runner,progressions,acquedotti,46,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5297089330116704,0.007399681923259268,41.85877833,12.55922,76.0
runner,progressions,acquedotti,47,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2304346212000166,0,41.85876,12.559195,76.0
runner,progressions,acquedotti,48,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.281399364626045,0,41.85874167,12.55916,76.0
runner,progressions,acquedotti,49,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.132804995737542,0,41.85872833,12.55911,77.0
runner,progressions,acquedotti,50,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6879098442623937,0.006881035889958241,41.85872167,12.55904833,77.0
runner,progressions,acquedotti,51,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.180620009592634,0,41.85870667,12.55902167,77.0
runner,progressions,acquedotti,52,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2469518411189253,0,41.858705,12.55896667,77.0
runner,progressions,acquedotti,53,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2267776029004,0,41.85869667,12.55894,77.0
runner,progressions,acquedotti,54,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2190449535663306,0,41.85867333,12.55895833,77.0
runner,progressions,acquedotti,55,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1611265116643827,0,41.85863333,12.559,77.0
runner,progressions,acquedotti,56,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.122392608468959,0,41.8586,12.55905333,77.0
runner,progressions,acquedotti,57,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.111272270688639,0,41.85856,12.559115,76.0
runner,progressions,acquedotti,58,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6799888911558725,0,41.85854,12.55913,76.0
runner,progressions,acquedotti,59,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1082980965978804,0,41.85852167,12.55912667,75.0
runner,progressions,acquedotti,60,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6704529223593068,0.015319026778136324,41.85850333,12.55911833,75.0
runner,progressions,acquedotti,61,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1432752262213928,0,41.85849167,12.55911,74.0
runner,progressions,acquedotti,62,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.568342637130044,0.0019465536731922643,41.85848667,12.55909833,74.0
runner,progressions,acquedotti,63,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.242127292185773,0,41.85848,12.55908833,73.0
runner,progressions,acquedotti,64,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5373243211832883,0,41.85847167,12.559075,73.0
runner,progressions,acquedotti,65,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1337663858072093,0,41.85845667,12.55906,73.0
runner,progressions,acquedotti,66,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1863436211418694,0,41.85844333,12.55905,72.0
runner,progressions,acquedotti,67,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5384363782196586,0,41.85843167,12.55903833,72.0
runner,progressions,acquedotti,68,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2635399050410223,0,41.85842333,12.55902667,72.0
runner,progressions,acquedotti,69,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.242098125558164,0,41.85841833,12.55900667,72.0
runner,progressions,acquedotti,70,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2851655815691685,0,41.858415,12.55898,72.0
runner,progressions,acquedotti,71,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2674869421170873,0,41.85841167,12.558955,71.0
runner,progressions,acquedotti,72,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6757329130608265,0.0038246700531122373,41.85840167,12.55893,71.0
runner,progressions,acquedotti,73,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.10930906055816,0,41.85839,12.55891333,71.0
runner,progressions,acquedotti,74,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2745061425168958,0,41.858375,12.55889,71.0
runner,progressions,acquedotti,75,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1003532574660584,0,41.85835667,12.55886833,71.0
runner,progressions,acquedotti,76,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1180041537926146,0,41.85834167,12.55885,71.0
runner,progressions,acquedotti,77,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.149124956554412,0,41.85833167,12.55882833,71.0
runner,progressions,acquedotti,78,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2262499491183743,0,41.85831833,12.55881,71.0
runner,progressions,acquedotti,79,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.183944378481238,0,41.85830667,12.55879333,70.0
runner,progressions,acquedotti,80,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5691718410489353,0.015254501977929649,41.85829333,12.55877,70.0
runner,progressions,acquedotti,81,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.140219658260514,0.005896354159009019,41.85828,12.55874167,70.0
runner,progressions,acquedotti,82,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1919122893689527,0,41.85827167,12.55871,70.0
runner,progressions,acquedotti,83,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2767847981434484,0,41.85826,12.55867833,70.0
runner,progressions,acquedotti,84,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1295917718182755,0,41.85824667,12.55864667,70.0
runner,progressions,acquedotti,85,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.284138359822058,0,41.85823167,12.55861333,70.0
runner,progressions,acquedotti,86,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1417705717801057,0,41.85821333,12.55859167,70.0
runner,progressions,acquedotti,87,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.124297736391617,0,41.85819833,12.55856833,70.0
runner,progressions,acquedotti,88,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1682661970685544,0,41.85818,12.55855667,70.0
runner,progressions,acquedotti,89,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.120390838311177,0,41.85816167,12.55855833,70.0
