athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,progressions,belfiore,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.717272978113597,0,45.189325,10.79284167,37.0
runner,progressions,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5426470380397523,0,45.18932167,10.79282,37.0
runner,progressions,belfiore,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.283714398990745,0,45.189325,10.79279833,36.0
runner,progressions,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5186580388040514,0.015634517627881615,45.18932667,10.79278,35.0
runner,progressions,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5481829029386467,0.005817686630353248,45.18933167,10.792755,35.0
runner,progressions,belfiore,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2826778986176763,0,45.18933833,10.79272333,34.0
runner,progressions,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5121970062655854,0,45.18934167,10.79269167,33.0
runner,progressions,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.69855531073687,0.01605644534086295,45.18934167,10.792665,32.0
runner,progressions,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.596476007280006,0.02657039666618123,45.189345,10.79263833,31.0
runner,progressions,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.541607822890607,0.017023619011491596,45.18935167,10.792615,31.0
runner,progressions,belfiore,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.149874166468354,0.004923519173583246,45.189355,10.79258667,30.0
runner,progressions,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.522767322505126,0.017798440802326856,45.189355,10.79256,29.0
runner,progressions,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6929874903976145,0.010776205419600096,45.18936,10.79252833,29.0
runner,progressions,belfiore,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.140717785637876,0,45.18936167,10.79250167,28.0
runner,progressions,belfiore,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.658346792449352,0,45.18936167,10.79247167,28.0
runner,progressions,belfiore,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.103092479285143,0,45.18936333,10.79244,27.0
runner,progressions,belfiore,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.607803463443223,0,45.189365,10.79241,27.0
runner,progressions,belfiore,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1990836473376087,0,45.18936833,10.79238,27.0
runner,progressions,belfiore,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2616472427661938,0,45.18937,10.79235,27.0
runner,progressions,belfiore,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.163159919606312,0,45.18936833,10.79231833,26.0
runner,progressions,belfiore,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6493790819616096,0,45.18937,10.792285,26.0
runner,progressions,belfiore,22,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1320241849250694,0,45.18937,10.79225333,25.0
runner,progressions,belfiore,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.588377952689694,0.013474045582536084,45.18937167,10.79221833,25.0
runner,progressions,belfiore,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.149538074097426,0,45.18937333,10.79218667,25.0
runner,progressions,belfiore,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2053945985740744,0,45.189375,10.79215833,25.0
runner,progressions,belfiore,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1587936630556,0,45.18937333,10.79213167,25.0
runner,progressions,belfiore,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2313202351809163,0,45.18937167,10.792105,24.0
runner,progressions,belfiore,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.671911881883339,0,45.18937,10.792075,24.0
runner,progressions,belfiore,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.166693057409921,0,45.18936667,10.79204167,24.0
runner,progressions,belfiore,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1589228508179943,0,45.18936667,10.79201167,24.0
runner,progressions,belfiore,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.269286303692542,0,45.18936667,10.79198333,24.0
runner,progressions,belfiore,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2166676998571146,0,45.18936667,10.791955,24.0
runner,progressions,belfiore,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.102207396297341,0,45.18936833,10.79193,24.0
runner,progressions,belfiore,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1550959797295444,0,45.18937,10.7919,24.0
runner,progressions,belfiore,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.179136280895986,0,45.18937167,10.79186833,24.0
runner,progressions,belfiore,36,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1948994331613014,0,45.18937333,10.79184,24.0
runner,progressions,belfiore,37,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1043111538548915,0,45.189375,10.79181333,24.0
runner,progressions,belfiore,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1915962856626714,0,45.18937667,10.79178667,24.0
runner,progressions,belfiore,39,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1647187543432564,0,45.18937833,10.79176,25.0
runner,progressions,belfiore,40,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.589052758904984,0.018550518663441637,45.18938,10.79173167,25.0
runner,progressions,belfiore,41,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.156026025589675,0,45.18938,10.791705,25.0
runner,progressions,belfiore,42,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.165435320126949,0,45.18938333,10.79167833,25.0
runner,progressions,belfiore,43,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.201716799307404,0,45.18938333,10.79165333,25.0
runner,progressions,belfiore,44,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1417499677990075,0,45.18938333,10.791625,25.0
runner,progressions,belfiore,45,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.297395981126092,0,45.18938167,10.79159333,25.0
runner,progressions,belfiore,46,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2127863531487035,0,45.189385,10.79156667,25.0
runner,progressions,belfiore,47,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.277214034226646,0,45.18939167,10.79154333,25.0
runner,progressions,belfiore,48,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1489733503423167,0,45.189395,10.79151667,25.0
runner,progressions,belfiore,49,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.288916033809274,0,45.18939833,10.79149,25.0
runner,progressions,belfiore,50,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1983301906999535,0,45.1894,10.79146167,25.0
runner,progressions,belfiore,51,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.148238760995202,0,45.1894,10.791435,25.0
runner,progressions,belfiore,52,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2545568162287126,0,45.18940167,10.79140667,25.0
runner,progressions,belfiore,53,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2299263609836015,0,45.189405,10.79138167,24.0
