athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,progressions,tre_laghi,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.791199176689891,0,45.18933,10.79333333,93.0
runner,progressions,tre_laghi,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6387972845248413,0,45.18926,10.79329333,91.0
runner,progressions,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6542109281752633,0.010746858352639289,45.18926333,10.79323667,90.0
runner,progressions,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6754931986297503,0.013421326603610957,45.18929667,10.79316667,88.0
runner,progressions,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5679363566872593,0.01045149286659793,45.18930833,10.793115,85.0
runner,progressions,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.506860496764565,0.017327150044877497,45.18930667,10.79308167,80.0
runner,progressions,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6137133466008504,0.03368423924779462,45.18930833,10.79303667,76.0
runner,progressions,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.625292346283934,0.02458575132662729,45.18930667,10.79298333,72.0
runner,progressions,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.651237196241906,0.03742880927742579,45.18931333,10.79293833,69.0
runner,progressions,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.670468688636162,0.0538467074287909,45.189315,10.79289167,66.0
runner,progressions,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.549018265636216,0.06512462106381231,45.18931667,10.79285667,64.0
runner,progressions,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.525578813387025,0.05369127173929202,45.18931833,10.792825,61.0
runner,progressions,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.553656076577893,0.03940689178243332,45.18931667,10.79279333,60.0
runner,progressions,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.579259901553505,0.030118091757445238,45.18931667,10.79277167,58.0
runner,progressions,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.514235897891019,0.03897459570612278,45.18931833,10.79274667,56.0
runner,progressions,tre_laghi,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5271919399774303,0.05865033136770093,45.18932167,10.79271833,55.0
runner,progressions,tre_laghi,17,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.586331906259286,0.04459828017562876,45.18932333,10.79268833,54.0
runner,progressions,tre_laghi,18,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5438328265861934,0.05343868398329877,45.189325,10.79265167,53.0
runner,progressions,tre_laghi,19,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5088065305885623,0.04982066716250608,45.18932667,10.792625,52.0
runner,progressions,tre_laghi,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.625502974513969,0.03772564393136187,45.18932667,10.7926,51.0
runner,progressions,tre_laghi,21,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.694699274879241,0.02363450802858627,45.18933,10.79257333,50.0
runner,progressions,tre_laghi,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.634100264503417,0.01416087458338972,45.18933,10.79254833,49.0
runner,progressions,tre_laghi,23,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.683043960993692,0.020980812360911538,45.18932833,10.79251833,48.0
runner,progressions,tre_laghi,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.662775295786719,0.04195812775089978,45.18932833,10.79249,48.0
runner,progressions,tre_laghi,25,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1328805373280533,0.030228336326093057,45.18932833,10.79246167,47.0
runner,progressions,tre_laghi,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5558198352123798,0.042017202067165256,45.18933,10.79243167,47.0
runner,progressions,tre_laghi,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.102382700854808,0.020951309350500467,45.18933,10.79240333,46.0
runner,progressions,tre_laghi,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6415713364226803,0.0058822961753972215,45.18933167,10.792375,46.0
runner,progressions,tre_laghi,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.251710468735042,0,45.18933333,10.79234833,46.0
runner,progressions,tre_laghi,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2802144187751225,0,45.189335,10.79232,46.0
runner,progressions,tre_laghi,31,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.132425710167107,0,45.18933667,10.79229333,45.0
runner,progressions,tre_laghi,32,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5850069050293882,0.005171765878978557,45.18933833,10.79226167,45.0
runner,progressions,tre_laghi,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1328157224048967,0,45.18934167,10.79223167,45.0
runner,progressions,tre_laghi,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2527183672661657,0,45.18934667,10.79220167,45.0
runner,progressions,tre_laghi,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.248974908847018,0,45.18935,10.792175,45.0
runner,progressions,tre_laghi,36,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.137369418143391,0,45.18935333,10.79215,44.0
runner,progressions,tre_laghi,37,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5926529022953066,0,45.18935667,10.79212167,44.0
runner,progressions,tre_laghi,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2159173313240594,0,45.18935833,10.79209333,44.0
runner,progressions,tre_laghi,39,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.139442193015172,0,45.18935833,10.792065,44.0
runner,progressions,tre_laghi,40,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1854666916765098,0,45.18935833,10.79203667,44.0
runner,progressions,tre_laghi,41,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2370661823523883,0,45.18936167,10.792005,44.0
runner,progressions,tre_laghi,42,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.267406192627308,0,45.189365,10.79197167,43.0
runner,progressions,tre_laghi,43,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6994837049359357,0,45.189365,10.79193833,43.0
runner,progressions,tre_laghi,44,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1216761973764386,0,45.18936833,10.791905,43.0
runner,progressions,tre_laghi,45,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.284945908878658,0,45.18937,10.79187333,43.0
runner,progressions,tre_laghi,46,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2532835048485187,0,45.18937167,10.79184333,43.0
runner,progressions,tre_laghi,47,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.109386978756533,0,45.189375,10.79181167,43.0
runner,progressions,tre_laghi,48,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.149648939960576,0,45.18937833,10.79178,42.0
runner,progressions,tre_laghi,49,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.692267225692064,0,45.18938,10.79175,42.0
runner,progressions,tre_laghi,50,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2607192756906422,0,45.18938,10.79172167,42.0
runner,progressions,tre_laghi,51,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2412204501192727,0,45.18938167,10.791695,42.0
runner,progressions,tre_laghi,52,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1666680188377505,0,45.18938333,10.79166833,42.0
runner,progressions,tre_laghi,53,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2857580417932137,0,45.18938333,10.79164333,42.0
runner,progressions,tre_laghi,54,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2093274121554245,0,45.189385,10.79161833,42.0
runner,progressions,tre_laghi,55,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.156717047425088,0,45.189385,10.79159,42.0
runner,progressions,tre_laghi,56,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2220563840341314,0,45.18938833,10.79156167,41.0
runner,progressions,tre_laghi,57,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6521311421252607,0.008192255971425288,45.189395,10.79153333,41.0
runner,progressions,tre_laghi,58,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1056715593354767,0.0007087888824977347,45.1894,10.79150833,40.0
runner,progressions,tre_laghi,59,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6793040066796134,0,45.18940333,10.79148333,39.0
runner,progressions,tre_laghi,60,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5240423117324933,0.008532503720458521,45.18940667,10.79145833,39.0
runner,progressions,tre_laghi,61,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.20288483684656,0,45.189405,10.79143333,38.0
runner,progressions,tre_laghi,62,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.641865939326913,0.020757344054761838,45.18940667,10.791405,37.0
runner,progressions,tre_laghi,63,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.625211858862068,0.022227657661871042,45.18940833,10.79138,36.0
runner,progressions,tre_laghi,64,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.608492075195323,0.007305887643426169,45.18940833,10.79135,36.0
runner,progressions,tre_laghi,65,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.252939773936082,0,45.18941,10.79132167,35.0
runner,progressions,tre_laghi,66,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5586289705541954,0.010081227098874072,45.18941,10.79129333,35.0
runner,progressions,tre_laghi,67,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.265740341822262,0,45.18941167,10.79126833,34.0
runner,progressions,tre_laghi,68,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5959085795780696,0,45.189415,10.79124333,33.0
runner,progressions,tre_laghi,69,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5146449716736665,0.0030062609070112527,45.18941333,10.79121667,33.0
runner,progressions,tre_laghi,70,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.170803106689796,0,45.18941333,10.79118667,32.0
runner,progressions,tre_laghi,71,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.638822320411996,0,45.18941667,10.79115833,31.0
runner,progressions,tre_laghi,72,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.681150462725608,0,45.18942,10.79113167,31.0
runner,progressions,tre_laghi,73,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.285698561451814,0,45.18942167,10.79110167,30.0
runner,progressions,tre_laghi,74,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5380355388413944,0.013007670892073398,45.18942667,10.79107167,30.0
