athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,recovery,acquedotti,1,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,3.6373548908191737,0,41.85956,12.56004167,75.0
runner,recovery,acquedotti,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1298962907915295,0,41.85954167,12.56003,74.0
runner,recovery,acquedotti,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6195182418009493,0.011436846778280302,41.859525,12.56001167,73.0
runner,recovery,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6236534119248867,0.0031390696357235758,41.85951,12.55999333,73.0
runner,recovery,acquedotti,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1198167436210853,0,41.859495,12.559975,73.0
runner,recovery,acquedotti,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2584449147750454,0,41.85948333,12.55996,72.0
runner,recovery,acquedotti,7,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6652175376749074,0,41.85947167,12.55994333,72.0
runner,recovery,acquedotti,8,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.246745894099342,0,41.85945833,12.55992,72.0
runner,recovery,acquedotti,9,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1758636079590645,0,41.85944667,12.55988833,72.0
runner,recovery,acquedotti,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1895237118032136,0,41.85943667,12.55986667,72.0
runner,recovery,acquedotti,11,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.13147277781296,0,41.85942667,12.55984667,72.0
runner,recovery,acquedotti,12,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2409224922802933,0,41.85941833,12.55982667,72.0
runner,recovery,acquedotti,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1791216466603793,0.0064138368676791,41.859405,12.55980333,72.0
runner,recovery,acquedotti,14,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.2642322426710697,0,41.859395,12.55978,73.0
runner,recovery,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.691315457025275,0.00047897549721276356,41.85937833,12.55974833,73.0
runner,recovery,acquedotti,16,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2366191544451217,0,41.85935833,12.55971667,73.0
runner,recovery,acquedotti,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1051819953465243,0,41.85934167,12.55968667,73.0
runner,recovery,acquedotti,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1351005850311604,0,41.85932833,12.55965833,73.0
runner,recovery,acquedotti,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1536998094264974,0,41.859315,12.55963,73.0
runner,recovery,acquedotti,20,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.158108640760242,0.0021386479491106915,41.859295,12.559595,74.0
runner,recovery,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5677910130534616,0,41.85927333,12.55955667,74.0
runner,recovery,acquedotti,22,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.29362652689089,0,41.85924667,12.55951833,74.0
runner,recovery,acquedotti,23,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.168494340113848,0,41.85921833,12.559515,74.0
runner,recovery,acquedotti,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.272429952746522,0,41.85918833,12.55952833,74.0
runner,recovery,acquedotti,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1956701376891967,0,41.85910667,12.559585,74.0
runner,recovery,acquedotti,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1491049127805844,0.0022003318244574587,41.85907333,12.559605,74.0
runner,recovery,acquedotti,27,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.188940035125449,0,41.85903833,12.55962667,74.0
runner,recovery,acquedotti,28,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1998773678514674,0,41.859005,12.55964333,75.0
runner,recovery,acquedotti,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6908489464631495,0,41.85897667,12.55965,75.0
runner,recovery,acquedotti,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1703765648826243,0.003220189600872647,41.85895667,12.559645,75.0
runner,recovery,acquedotti,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2052913176254973,0.005786960392868103,41.85893667,12.55962667,75.0
runner,recovery,acquedotti,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.212248205571683,0,41.85894,12.55959167,75.0
runner,recovery,acquedotti,33,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1526739424809493,0,41.85893167,12.55955333,74.0
runner,recovery,acquedotti,34,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5884363447460252,0,41.858935,12.55951333,74.0
runner,recovery,acquedotti,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1216882550656164,0,41.85892,12.55947333,74.0
runner,recovery,acquedotti,36,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1765077048120753,0,41.85891333,12.559425,74.0
runner,recovery,acquedotti,37,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.297142058756698,0,41.85890333,12.55939833,74.0
runner,recovery,acquedotti,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.191063190131514,0,41.85889333,12.55939833,74.0
runner,recovery,acquedotti,39,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.295561956150976,0,41.85887667,12.55938,74.0
runner,recovery,acquedotti,40,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.2338859087177156,0.006322631462658599,41.85886333,12.55936,75.0
