athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,recovery,belfiore,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.682652597658499,0,45.189325,10.79284167,37.0
runner,recovery,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5547469345166776,0,45.18932167,10.79282,37.0
runner,recovery,belfiore,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2485968481596124,0.001875731420635544,45.189325,10.79279833,36.0
runner,recovery,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.597379934130673,0.017703912925784424,45.18932667,10.79278,35.0
runner,recovery,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5520970995605703,0.01680957191812602,45.18933167,10.792755,35.0
runner,recovery,belfiore,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1392494030482334,0,45.18933833,10.79272333,34.0
runner,recovery,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.668128705633413,0.013382217212030804,45.18934167,10.79269167,33.0
runner,recovery,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.638828216195671,0,45.18934167,10.792665,32.0
runner,recovery,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.503490756866364,0,45.189345,10.79263833,31.0
runner,recovery,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6804930073944697,0,45.18935167,10.792615,31.0
runner,recovery,belfiore,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2694633883790902,0,45.189355,10.79258667,30.0
runner,recovery,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5285396201266055,0.00977025632796728,45.189355,10.79256,29.0
runner,recovery,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5679091545583432,0.026601244896800828,45.18936,10.79252833,29.0
runner,recovery,belfiore,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2880058223014523,0.02651315487941406,45.18936167,10.79250167,28.0
runner,recovery,belfiore,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.65342824388078,0.03363572356792639,45.18936167,10.79247167,28.0
runner,recovery,belfiore,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2352118183026297,0.0054044173398480715,45.18936333,10.79244,27.0
runner,recovery,belfiore,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.564399519927629,0,45.189365,10.79241,27.0
runner,recovery,belfiore,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.252729589140594,0,45.18936833,10.79238,27.0
runner,recovery,belfiore,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.266628736065291,0,45.18937,10.79235,27.0
runner,recovery,belfiore,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2576301557994136,0,45.18936833,10.79231833,26.0
runner,recovery,belfiore,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5698573093545996,0,45.18937,10.792285,26.0
runner,recovery,belfiore,22,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2012227066422665,0,45.18937,10.79225333,25.0
runner,recovery,belfiore,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.542554236645909,0.013449556381568264,45.18937167,10.79221833,25.0
runner,recovery,belfiore,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1591705338436893,0,45.18937333,10.79218667,25.0
runner,recovery,belfiore,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.121851918735762,0,45.189375,10.79215833,25.0
runner,recovery,belfiore,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.17378032006896,0,45.18937333,10.79213167,25.0
runner,recovery,belfiore,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.267612823469194,0.005186658348733246,45.18937167,10.792105,24.0
runner,recovery,belfiore,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6493373165053513,0.0014078134133522196,45.18937,10.792075,24.0
runner,recovery,belfiore,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2709433315050345,0,45.18936667,10.79204167,24.0
runner,recovery,belfiore,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1829594409922177,0,45.18936667,10.79201167,24.0
runner,recovery,belfiore,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2067546237090125,0.005599003429375372,45.18936667,10.79198333,24.0
runner,recovery,belfiore,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.224222006984212,0,45.18936667,10.791955,24.0
runner,recovery,belfiore,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.211661570705126,0,45.18936833,10.79193,24.0
runner,recovery,belfiore,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.136774618022967,0,45.18937,10.7919,24.0
runner,recovery,belfiore,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.141512158568596,0,45.18937167,10.79186833,24.0
runner,recovery,belfiore,36,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.217113979550713,0,45.18937333,10.79184,24.0
runner,recovery,belfiore,37,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2834502741870475,0,45.189375,10.79181333,24.0
runner,recovery,belfiore,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.233397248141827,0,45.18937667,10.79178667,24.0
runner,recovery,belfiore,39,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.2688150522476485,0,45.18937833,10.79176,25.0
runner,recovery,belfiore,40,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5766158395554797,0.0002256425583706638,45.18938,10.79173167,25.0
runner,recovery,belfiore,41,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.102661857503749,0,45.18938,10.791705,25.0
runner,recovery,belfiore,42,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.16614672274799,0,45.18938333,10.79167833,25.0
runner,recovery,belfiore,43,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2803543788876417,0.005224952707725881,45.18938333,10.79165333,25.0
runner,recovery,belfiore,44,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.117672121583129,0,45.18938333,10.791625,25.0
runner,recovery,belfiore,45,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2284694943959504,0.0007560727615806891,45.18938167,10.79159333,25.0
runner,recovery,belfiore,46,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1268529739720288,0,45.189385,10.79156667,25.0
runner,recovery,belfiore,47,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2905357892478824,0,45.18939167,10.79154333,25.0
runner,recovery,belfiore,48,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.107344947306591,0,45.189395,10.79151667,25.0
runner,recovery,belfiore,49,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.198880861001982,0,45.18939833,10.79149,25.0
runner,recovery,belfiore,50,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2592582970500814,0.005676392450948723,45.1894,10.79146167,25.0
runner,recovery,belfiore,51,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1096890840182088,0,45.1894,10.791435,25.0
runner,recovery,belfiore,52,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.116197786985868,0,45.18940167,10.79140667,25.0
runner,recovery,belfiore,53,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1651286413791753,0,45.189405,10.79138167,24.0
runner,recovery,belfiore,54,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6561984029383034,0.013920094095918302,45.18940667,10.79135833,24.0
runner,recovery,belfiore,55,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.279692981984175,0.018591833253003183,45.18941,10.79133333,24.0
runner,recovery,belfiore,56,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.224646518658997,0.016241516243035846,45.18941167,10.79131,24.0
runner,recovery,belfiore,57,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1539429785078594,0.015507208674577234,45.18941333,10.79128167,23.0
runner,recovery,belfiore,58,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.697463502107577,0.02253750165531341,45.189415,10.79125167,23.0
runner,recovery,belfiore,59,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1748553278745373,0.018720856488565085,45.18941333,10.79122333,23.0
runner,recovery,belfiore,60,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2372978311558502,0.017433174906401644,45.18941333,10.79119333,23.0
runner,recovery,belfiore,61,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2848073006228153,0.01502327594628776,45.18941667,10.79116667,23.0
runner,recovery,belfiore,62,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1401768199395583,0,45.18941833,10.79113667,22.0
runner,recovery,belfiore,63,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5433194054619186,0,45.18942,10.79111,22.0
runner,recovery,belfiore,64,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.284876820399372,0,45.18942167,10.791085,22.0
runner,recovery,belfiore,65,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.299176682684476,0,45.18942,10.791055,22.0
runner,recovery,belfiore,66,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2378456651221175,0,45.18941833,10.791025,22.0
runner,recovery,belfiore,67,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.244052988811853,0,45.18941667,10.790995,22.0
runner,recovery,belfiore,68,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2643652401041594,0,45.18941833,10.79096833,22.0
runner,recovery,belfiore,69,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.181570883300141,0.0011030784802214238,45.18941833,10.79094,22.0
runner,recovery,belfiore,70,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.224494404583872,0.001894554895043355,45.18942,10.79091333,22.0
runner,recovery,belfiore,71,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1017446799920285,0.003416493363708308,45.18942,10.79088833,22.0
runner,recovery,belfiore,72,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2694381172224696,0,45.18941833,10.79086167,22.0
runner,recovery,belfiore,73,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1575974877123256,0,45.189415,10.79083333,22.0
runner,recovery,belfiore,74,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1787709142316354,0,45.18941,10.79081167,22.0
runner,recovery,belfiore,75,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2980942874342514,0.004432665355925255,45.18941,10.79079,22.0
runner,recovery,belfiore,76,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1480090918219252,0.010314992657520995,45.18940667,10.79076833,22.0
runner,recovery,belfiore,77,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.202493506568531,0.013626397290767507,45.18940333,10.79074333,22.0
runner,recovery,belfiore,78,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.131132091521193,0.01650701834616384,45.1894,10.79071667,22.0
runner,recovery,belfiore,79,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2265866483899166,0.01537589395032198,45.18939333,10.790695,22.0
runner,recovery,belfiore,80,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.177090629803335,0.01774964610311566,45.18938167,10.79068167,22.0
runner,recovery,belfiore,81,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2947813316514174,0.019502375448182306,45.18936667,10.79067167,22.0
runner,recovery,belfiore,82,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2063448916263666,0,45.18935333,10.79066,22.0
runner,recovery,belfiore,83,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.272375425013923,0,45.18933667,10.79065333,22.0
runner,recovery,belfiore,84,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2374637234156864,0,45.18932167,10.79065333,22.0
runner,recovery,belfiore,85,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.148921819628778,0,45.18931,10.79064833,22.0
runner,recovery,belfiore,86,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2919233413692535,0,45.18929833,10.79064667,22.0
runner,recovery,belfiore,87,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.245416498946679,0,45.18928167,10.790635,22.0
runner,recovery,belfiore,88,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.132583863491724,0,45.189265,10.79062833,22.0
runner,recovery,belfiore,89,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1595807349203273,0,45.18924333,10.790625,22.0
runner,recovery,belfiore,90,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2057179048928988,0.002015134737927365,45.189215,10.79060833,22.0
runner,recovery,belfiore,91,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1854050961729397,0,45.18919667,10.79058667,22.0
