athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,recovery,tre_laghi,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.6924816388632404,0,45.18933,10.79333333,93.0
runner,recovery,tre_laghi,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5928759831182964,0,45.18926,10.79329333,91.0
runner,recovery,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.537254115843677,0.01749539200176014,45.18926333,10.79323667,90.0
runner,recovery,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.593826622767372,0.013452529573968582,45.18929667,10.79316667,88.0
runner,recovery,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.592886575792224,0.025261584283249542,45.18930833,10.793115,85.0
runner,recovery,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6330293157404405,0.008164253223378867,45.18930667,10.79308167,80.0
runner,recovery,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6676620423502246,0.02431768641236788,45.18930833,10.79303667,76.0
runner,recovery,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5147556800236686,0.020652772850351192,45.18930667,10.79298333,72.0
runner,recovery,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5289871445820244,0.030687094540519613,45.18931333,10.79293833,69.0
runner,recovery,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6830573620548237,0.020008682002322725,45.189315,10.79289167,66.0
runner,recovery,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.659064660239842,0.020101559072716754,45.18931667,10.79285667,64.0
runner,recovery,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6786668638354607,0.0348665632404913,45.18931833,10.792825,61.0
runner,recovery,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6014942175905853,0.043918289024542145,45.18931667,10.79279333,60.0
runner,recovery,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.692331405716879,0.04597995435886355,45.18931667,10.79277167,58.0
runner,recovery,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5912293357762626,0.041755349336014755,45.18931833,10.79274667,56.0
runner,recovery,tre_laghi,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6851077316903265,0.053407617887558684,45.18932167,10.79271833,55.0
runner,recovery,tre_laghi,17,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.587517034144998,0.07122796378975997,45.18932333,10.79268833,54.0
runner,recovery,tre_laghi,18,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6791508605950627,0.0642936997230408,45.189325,10.79265167,53.0
runner,recovery,tre_laghi,19,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5310474777568994,0.06978336985355581,45.18932667,10.792625,52.0
runner,recovery,tre_laghi,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6212268678271373,0.07722154798441155,45.18932667,10.7926,51.0
runner,recovery,tre_laghi,21,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5158484977539777,0.06600150043869851,45.18933,10.79257333,50.0
runner,recovery,tre_laghi,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.619966072438625,0.06393222069555789,45.18933,10.79254833,49.0
runner,recovery,tre_laghi,23,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.549563201090695,0.06832084788778867,45.18932833,10.79251833,48.0
runner,recovery,tre_laghi,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5768352089986557,0.08635404029290725,45.18932833,10.79249,48.0
runner,recovery,tre_laghi,25,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.161344016044825,0.06681896587639069,45.18932833,10.79246167,47.0
runner,recovery,tre_laghi,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5519838408192537,0.04891512555407976,45.18933,10.79243167,47.0
runner,recovery,tre_laghi,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2810913811651,0.019817471245290166,45.18933,10.79240333,46.0
runner,recovery,tre_laghi,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.537118258371986,0.027000383788763502,45.18933167,10.792375,46.0
runner,recovery,tre_laghi,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1910866071860378,0.024766576809298523,45.18933333,10.79234833,46.0
runner,recovery,tre_laghi,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.224536947788813,0.014697560876499897,45.189335,10.79232,46.0
runner,recovery,tre_laghi,31,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1836373411825196,0.016926628325944767,45.18933667,10.79229333,45.0
runner,recovery,tre_laghi,32,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5058831031274162,0.004006686033294611,45.18933833,10.79226167,45.0
runner,recovery,tre_laghi,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1848848674342776,0,45.18934167,10.79223167,45.0
runner,recovery,tre_laghi,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1909854375774507,0,45.18934667,10.79220167,45.0
runner,recovery,tre_laghi,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.152726013334753,0,45.18935,10.792175,45.0
runner,recovery,tre_laghi,36,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1206492966874193,0,45.18935333,10.79215,44.0
runner,recovery,tre_laghi,37,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5815145578519907,0.01042276730096179,45.18935667,10.79212167,44.0
runner,recovery,tre_laghi,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.182017784645594,0,45.18935833,10.79209333,44.0
runner,recovery,tre_laghi,39,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2977701519103295,0,45.18935833,10.792065,44.0
runner,recovery,tre_laghi,40,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2935779926996354,0,45.18935833,10.79203667,44.0
runner,recovery,tre_laghi,41,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1294521393879045,0,45.18936167,10.792005,44.0
runner,recovery,tre_laghi,42,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1310641389281884,0,45.189365,10.79197167,43.0
runner,recovery,tre_laghi,43,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5315336516187306,0,45.189365,10.79193833,43.0
runner,recovery,tre_laghi,44,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.159718528472413,0,45.18936833,10.791905,43.0
runner,recovery,tre_laghi,45,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.198084005962976,0,45.18937,10.79187333,43.0
runner,recovery,tre_laghi,46,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.233284137375836,0,45.18937167,10.79184333,43.0
runner,recovery,tre_laghi,47,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2284116371538816,0,45.189375,10.79181167,43.0
runner,recovery,tre_laghi,48,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.254316556878987,0,45.18937833,10.79178,42.0
runner,recovery,tre_laghi,49,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5401371999108298,0,45.18938,10.79175,42.0
runner,recovery,tre_laghi,50,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2148756921923356,0,45.18938,10.79172167,42.0
runner,recovery,tre_laghi,51,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1988989671094474,0,45.18938167,10.791695,42.0
runner,recovery,tre_laghi,52,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.227833442360976,0,45.18938333,10.79166833,42.0
runner,recovery,tre_laghi,53,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2406616139937365,0,45.18938333,10.79164333,42.0
runner,recovery,tre_laghi,54,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1767060844625825,0,45.189385,10.79161833,42.0
runner,recovery,tre_laghi,55,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2933927290828873,0.00328411066554026,45.189385,10.79159,42.0
runner,recovery,tre_laghi,56,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2471232307343922,0,45.18938833,10.79156167,41.0
runner,recovery,tre_laghi,57,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6043775043300865,0,45.189395,10.79153333,41.0
runner,recovery,tre_laghi,58,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1626465113524063,0,45.1894,10.79150833,40.0
runner,recovery,tre_laghi,59,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5418124367425605,0.013948600542986127,45.18940333,10.79148333,39.0
runner,recovery,tre_laghi,60,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5062069801836335,0.028110430080790554,45.18940667,10.79145833,39.0
runner,recovery,tre_laghi,61,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2352693540007684,0.026484220431386374,45.189405,10.79143333,38.0
runner,recovery,tre_laghi,62,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.538559668047032,0.03758880076876261,45.18940667,10.791405,37.0
runner,recovery,tre_laghi,63,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6895434652169263,0.041223538181384814,45.18940833,10.79138,36.0
runner,recovery,tre_laghi,64,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.66061286397222,0.042820607803758924,45.18940833,10.79135,36.0
runner,recovery,tre_laghi,65,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2193683552762007,0.020852014846409358,45.18941,10.79132167,35.0
runner,recovery,tre_laghi,66,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.535961832077821,0.02350721513913388,45.18941,10.79129333,35.0
runner,recovery,tre_laghi,67,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.263757700881638,0.024946092844578147,45.18941167,10.79126833,34.0
runner,recovery,tre_laghi,68,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.556111133160217,0.011953400338631587,45.189415,10.79124333,33.0
runner,recovery,tre_laghi,69,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6170937773556693,0.031608042875856834,45.18941333,10.79121667,33.0
runner,recovery,tre_laghi,70,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2629786086401857,0.01978109982672121,45.18941333,10.79118667,32.0
runner,recovery,tre_laghi,71,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6703406706636574,0.027283143506782757,45.18941667,10.79115833,31.0
runner,recovery,tre_laghi,72,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.642971933475813,0.02376225359120615,45.18942,10.79113167,31.0
runner,recovery,tre_laghi,73,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2312179496814633,0.028656020508069847,45.18942167,10.79110167,30.0
runner,recovery,tre_laghi,74,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.586149314240372,0.02069875655107399,45.18942667,10.79107167,30.0
runner,recovery,tre_laghi,75,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1228657249981118,0,45.189425,10.79104167,29.0
