athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,endurance,acquedotti,1,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,4.06041248914214,0,41.85956,12.56004167,75.0
runner,endurance,acquedotti,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.68806004056597,0.010701167737393541,41.85954167,12.56003,74.0
runner,endurance,acquedotti,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.535831509449824,0.0012542870090276933,41.859525,12.56001167,73.0
runner,endurance,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6397602008926158,0.005410771896100848,41.85951,12.55999333,73.0
runner,endurance,acquedotti,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.58938335309844,0.02220192102969458,41.859495,12.559975,73.0
runner,endurance,acquedotti,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5312393058574805,0.03909884965722205,41.85948333,12.55996,72.0
runner,endurance,acquedotti,7,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.573410525363755,0.025927051590616194,41.85947167,12.55994333,72.0
runner,endurance,acquedotti,8,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.510733638815224,0.03873955796006618,41.85945833,12.55992,72.0
runner,endurance,acquedotti,9,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.61513355332572,0.04400121929203222,41.85944667,12.55988833,72.0
runner,endurance,acquedotti,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.687561846984642,0.026939061780158105,41.85943667,12.55986667,72.0
runner,endurance,acquedotti,11,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.518866333543228,0.02598447455506943,41.85942667,12.55984667,72.0
runner,endurance,acquedotti,12,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5108212859882335,0.025909861675029486,41.85941833,12.55982667,72.0
runner,endurance,acquedotti,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.547397939325785,0.02747379569412122,41.859405,12.55980333,72.0
runner,endurance,acquedotti,14,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.664607606827795,0.03760449564744087,41.859395,12.55978,73.0
runner,endurance,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6508338339012925,0.046126642757472566,41.85937833,12.55974833,73.0
runner,endurance,acquedotti,16,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6975957379978444,0.057362630318149734,41.85935833,12.55971667,73.0
runner,endurance,acquedotti,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.605595629521625,0.06564465924064128,41.85934167,12.55968667,73.0
runner,endurance,acquedotti,18,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5918771950239394,0.07754680813699977,41.85932833,12.55965833,73.0
runner,endurance,acquedotti,19,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.671022646005602,0.07347970415726042,41.859315,12.55963,73.0
runner,endurance,acquedotti,20,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.6015613322216837,0.08227614458237428,41.859295,12.559595,74.0
runner,endurance,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6189416640934793,0.09298849202380134,41.85927333,12.55955667,74.0
runner,endurance,acquedotti,22,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5512118796035157,0.10223360471516504,41.85924667,12.55951833,74.0
runner,endurance,acquedotti,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6831376066260164,0.09559232222764656,41.85921833,12.559515,74.0
runner,endurance,acquedotti,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5352596357390302,0.11633811536221758,41.85918833,12.55952833,74.0
runner,endurance,acquedotti,25,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5813129000053503,0.11118853570293456,41.85910667,12.559585,74.0
runner,endurance,acquedotti,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.630208599979864,0.1293618993539879,41.85907333,12.559605,74.0
runner,endurance,acquedotti,27,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.600587890078494,0.12197936877289198,41.85903833,12.55962667,74.0
runner,endurance,acquedotti,28,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.64316649526739,0.10616359959806945,41.859005,12.55964333,75.0
runner,endurance,acquedotti,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5877913256258824,0.11429690717353061,41.85897667,12.55965,75.0
runner,endurance,acquedotti,30,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5306179640330395,0.09911257570136861,41.85895667,12.559645,75.0
