athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,endurance,belfiore,1,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,4.02915274931699,0.0015131739818549463,45.189325,10.79284167,37.0
runner,endurance,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6096760452693726,0.006880571716311637,45.18932167,10.79282,37.0
runner,endurance,belfiore,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.593093772545319,0.0016896064012654598,45.189325,10.79279833,36.0
runner,endurance,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.576151302536742,0,45.18932667,10.79278,35.0
runner,endurance,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.694524510209003,0,45.18933167,10.792755,35.0
runner,endurance,belfiore,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5726340267734504,0,45.18933833,10.79272333,34.0
runner,endurance,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.548483446788893,0.018254934905920756,45.18934167,10.79269167,33.0
runner,endurance,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5206552010711736,0.005247145545133074,45.18934167,10.792665,32.0
runner,endurance,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.53741051830106,0.004403538147831277,45.189345,10.79263833,31.0
runner,endurance,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.506250036600417,0,45.18935167,10.792615,31.0
runner,endurance,belfiore,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6549273736729138,0.009945874200545093,45.189355,10.79258667,30.0
runner,endurance,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6637499259333173,0.03184948921577953,45.189355,10.79256,29.0
runner,endurance,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.566789543288067,0.05184700735603793,45.18936,10.79252833,29.0
runner,endurance,belfiore,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.621151825610852,0.07213227628669862,45.18936167,10.79250167,28.0
runner,endurance,belfiore,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5864003407028866,0.08755596565683879,45.18936167,10.79247167,28.0
runner,endurance,belfiore,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6744228286032588,0.09761932325348108,45.18936333,10.79244,27.0
runner,endurance,belfiore,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.617662651278759,0.09626666902023527,45.189365,10.79241,27.0
runner,endurance,belfiore,18,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6959836668858577,0.0801567924033552,45.18936833,10.79238,27.0
runner,endurance,belfiore,19,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.656003868806453,0.08951238950589399,45.18937,10.79235,27.0
runner,endurance,belfiore,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.634672761914819,0.0863743096298614,45.18936833,10.79231833,26.0
runner,endurance,belfiore,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.504490705281393,0.0929236204087082,45.18937,10.792285,26.0
runner,endurance,belfiore,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5152514770447585,0.08006820010581406,45.18937,10.79225333,25.0
runner,endurance,belfiore,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5215158498319306,0.06227301039810017,45.18937167,10.79221833,25.0
runner,endurance,belfiore,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6206624759607555,0.050246093322918024,45.18937333,10.79218667,25.0
runner,endurance,belfiore,25,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.547183337076694,0.06592204643590308,45.189375,10.79215833,25.0
