athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,fartlek,acquedotti,1,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,4.078368244096465,0,41.85956,12.56004167,75.0
runner,fartlek,acquedotti,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.652665323732075,0.003972547366470747,41.85954167,12.56003,74.0
runner,fartlek,acquedotti,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.69381901886002,0,41.859525,12.56001167,73.0
runner,fartlek,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.526093725671566,0,41.85951,12.55999333,73.0
runner,fartlek,acquedotti,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.680499046434837,0.02082292717933495,41.859495,12.559975,73.0
runner,fartlek,acquedotti,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.565844413437619,0.02352249509288761,41.85948333,12.55996,72.0
runner,fartlek,acquedotti,7,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5321480722118848,0.029184829794912295,41.85947167,12.55994333,72.0
runner,fartlek,acquedotti,8,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.534151184745494,0.030593765385493236,41.85945833,12.55992,72.0
runner,fartlek,acquedotti,9,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.569717383877999,0.04774256262132226,41.85944667,12.55988833,72.0
runner,fartlek,acquedotti,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.61179465478035,0.03113520528502461,41.85943667,12.55986667,72.0
runner,fartlek,acquedotti,11,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5710191294860305,0.04277097355270219,41.85942667,12.55984667,72.0
runner,fartlek,acquedotti,12,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.551458933594778,0.03458259920132553,41.85941833,12.55982667,72.0
runner,fartlek,acquedotti,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.682288275347779,0.03403254012462657,41.859405,12.55980333,72.0
runner,fartlek,acquedotti,14,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.656724603565175,0.051016367891326436,41.859395,12.55978,73.0
runner,fartlek,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.510148992816776,0.0661467799898993,41.85937833,12.55974833,73.0
runner,fartlek,acquedotti,16,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6892043308307128,0.07331994844877783,41.85935833,12.55971667,73.0
runner,fartlek,acquedotti,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5028732581026114,0.07886131227873787,41.85934167,12.55968667,73.0
runner,fartlek,acquedotti,18,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5681830130325025,0.07801344754993714,41.85932833,12.55965833,73.0
runner,fartlek,acquedotti,19,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6017684594053057,0.0618586505574268,41.859315,12.55963,73.0
runner,fartlek,acquedotti,20,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.599047269394256,0.05650191736708989,41.859295,12.559595,74.0
runner,fartlek,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6542535381907593,0.06714649995897162,41.85927333,12.55955667,74.0
runner,fartlek,acquedotti,22,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5687018240651898,0.08412024854174095,41.85924667,12.55951833,74.0
runner,fartlek,acquedotti,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.613136255571462,0.08669943001733645,41.85921833,12.559515,74.0
runner,fartlek,acquedotti,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.569332084248915,0.083120340006371,41.85918833,12.55952833,74.0
runner,fartlek,acquedotti,25,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6970618576421703,0.1003567063392325,41.85910667,12.559585,74.0
runner,fartlek,acquedotti,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6627815102995385,0.11210959629243325,41.85907333,12.559605,74.0
runner,fartlek,acquedotti,27,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6900714658089053,0.11507802278683907,41.85903833,12.55962667,74.0
runner,fartlek,acquedotti,28,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.555480874946625,0.12974792947777902,41.859005,12.55964333,75.0
runner,fartlek,acquedotti,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5630793793800004,0.13007240903857278,41.85897667,12.55965,75.0
runner,fartlek,acquedotti,30,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6569292275773684,0.12519206342393016,41.85895667,12.559645,75.0
runner,fartlek,acquedotti,31,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5471426784386626,0.1298497319770196,41.85893667,12.55962667,75.0
runner,fartlek,acquedotti,32,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.637132223283881,0.13948590207383757,41.85894,12.55959167,75.0
runner,fartlek,acquedotti,33,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6891708071826863,0.12675995445407776,41.85893167,12.55955333,74.0
runner,fartlek,acquedotti,34,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.693743406764463,0.11869601088414808,41.858935,12.55951333,74.0
runner,fartlek,acquedotti,35,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5550714075503413,0.10886905953889549,41.85892,12.55947333,74.0
runner,fartlek,acquedotti,36,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6629911785877733,0.1190931433851142,41.85891333,12.559425,74.0
runner,fartlek,acquedotti,37,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.675799757527179,0.11917624340759647,41.85890333,12.55939833,74.0
runner,fartlek,acquedotti,38,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6226756893776577,0.10768137395274513,41.85889333,12.55939833,74.0
runner,fartlek,acquedotti,39,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.538297307900224,0.11406526407706419,41.85887667,12.55938,74.0
runner,fartlek,acquedotti,40,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.534472473138888,0.11338662306469266,41.85886333,12.55936,75.0
