athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,fartlek,belfiore,1,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,4.0468867098816474,0.0035837675531087245,45.189325,10.79284167,37.0
runner,fartlek,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6202415146264832,0.007070776760839564,45.18932167,10.79282,37.0
runner,fartlek,belfiore,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6177377960043806,0.026021219079099392,45.189325,10.79279833,36.0
runner,fartlek,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5302335565756664,0.014854720768383043,45.18932667,10.79278,35.0
runner,fartlek,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6784682681546235,0.018925161140549207,45.18933167,10.792755,35.0
runner,fartlek,belfiore,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5228264879804025,0.031073535414402168,45.18933833,10.79272333,34.0
runner,fartlek,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6337395992937203,0.015295904230325296,45.18934167,10.79269167,33.0
runner,fartlek,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.563960488238072,0.010276439692464188,45.18934167,10.792665,32.0
runner,fartlek,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5985491151073816,0.02159608372159441,45.189345,10.79263833,31.0
runner,fartlek,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6327614164045934,0.006190104703384925,45.18935167,10.792615,31.0
runner,fartlek,belfiore,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.515089820478526,0,45.189355,10.79258667,30.0
runner,fartlek,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.519653040731076,0.0021692694483973077,45.189355,10.79256,29.0
runner,fartlek,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6537864442190893,0,45.18936,10.79252833,29.0
runner,fartlek,belfiore,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5917273499877216,0,45.18936167,10.79250167,28.0
runner,fartlek,belfiore,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.611179968192938,0,45.18936167,10.79247167,28.0
runner,fartlek,belfiore,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.650500243187734,0.020921354864390573,45.18936333,10.79244,27.0
runner,fartlek,belfiore,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.66826595124898,0.01299524248202492,45.189365,10.79241,27.0
runner,fartlek,belfiore,18,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6404060423727436,0,45.18936833,10.79238,27.0
runner,fartlek,belfiore,19,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.688228718179729,0.019942026999949746,45.18937,10.79235,27.0
runner,fartlek,belfiore,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6815290352071557,0.005505970790118855,45.18936833,10.79231833,26.0
runner,fartlek,belfiore,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5609884481816185,0.016870898818611202,45.18937,10.792285,26.0
