athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,progressions,acquedotti,1,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,3.2980168349999253,0.016592025197929204,41.85956,12.56004167,75.0
runner,progressions,acquedotti,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.156888046241665,0.009977121477147799,41.85954167,12.56003,74.0
runner,progressions,acquedotti,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6588298751911723,0.018769832239929465,41.859525,12.56001167,73.0
runner,progressions,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5675803581620684,0.013012282009444502,41.85951,12.55999333,73.0
runner,progressions,acquedotti,5,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.8245837918365044,0.00733557029851978,41.859495,12.559975,73.0
runner,progressions,acquedotti,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.16043457559141,0,41.85948333,12.55996,72.0
runner,progressions,acquedotti,7,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.602434040168337,0.020997349432965273,41.85947167,12.55994333,72.0
runner,progressions,acquedotti,8,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.8715808153627975,0.012517847925096227,41.85945833,12.55992,72.0
runner,progressions,acquedotti,9,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1778106518039873,0,41.85944667,12.55988833,72.0
runner,progressions,acquedotti,10,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.868434983950859,0.009396205213915038,41.85943667,12.55986667,72.0
runner,progressions,acquedotti,11,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.117439024154927,0,41.85942667,12.55984667,72.0
runner,progressions,acquedotti,12,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.7434563979670692,0,41.85941833,12.55982667,72.0
runner,progressions,acquedotti,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2658229505995653,0,41.859405,12.55980333,72.0
runner,progressions,acquedotti,14,warmup,low,accelerate,Z2,Z2,Z1,Z1,uphill,1.143721883249692,0.020114281884579345,41.859395,12.55978,73.0
runner,progressions,acquedotti,15,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2914915768306328,0,41.85937833,12.55974833,73.0
runner,progressions,acquedotti,16,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.2832938069121302,0.014225215127567104,41.85935833,12.55971667,73.0
runner,progressions,acquedotti,17,warmup,low,keep going,Z2,Z2,Z1,Z1,flat,1.1484453787100717,0.012198781169559341,41.85934167,12.55968667,73.0
runner,progressions,acquedotti,18,warmup,low,keep going,Z2,Z2,Z1,Z1,flat,1.124072427220139,0.037357288328405014,41.85932833,12.55965833,73.0
runner,progressions,acquedotti,19,warmup,low,keep going,Z2,Z2,Z1,Z1,flat,1.2482949346987477,0.03571849317821152,41.859315,12.55963,73.0
runner,progressions,acquedotti,20,warmup,low,keep going,Z2,Z2,Z1,Z1,uphill,1.1062928594751176,0.03972512843998804,41.859295,12.559595,74.0
runner,progressions,acquedotti,21,warmup,low,slow down,Z2,Z1,Z1,Z1,flat,1.5894930044678892,0.02337056932431942,41.85927333,12.55955667,74.0
runner,progressions,acquedotti,22,warmup,low,keep going,Z2,Z1,Z1,Z1,flat,1.8414436298533767,0.018974026924919063,41.85924667,12.55951833,74.0
runner,progressions,acquedotti,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6926246272352636,0.0371362097030642,41.85921833,12.559515,74.0
runner,progressions,acquedotti,24,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.2603113534593198,0.04434371382521037,41.85918833,12.55952833,74.0
runner,progressions,acquedotti,25,warmup,low,keep going,Z2,Z2,Z1,Z1,flat,1.2911164228813912,0.06207680722338287,41.85910667,12.559585,74.0
runner,progressions,acquedotti,26,warmup,low,keep going,Z2,Z2,Z1,Z1,flat,1.1588161994927517,0.0653897147730815,41.85907333,12.559605,74.0
runner,progressions,acquedotti,27,warmup,low,keep going,Z2,Z2,Z1,Z1,flat,1.2497016321136982,0.09018079541009065,41.85903833,12.55962667,74.0
runner,progressions,acquedotti,28,warmup,low,keep going,Z2,Z2,Z1,Z1,uphill,1.225061876297303,0.10806023136033574,41.859005,12.55964333,75.0
runner,progressions,acquedotti,29,warmup,low,slow down,Z2,Z1,Z1,Z1,flat,1.5617117567445982,0.09542342446100577,41.85897667,12.55965,75.0
runner,progressions,acquedotti,30,warmup,low,keep going,Z2,Z1,Z1,Z1,flat,1.835726888123173,0.10851293917831473,41.85895667,12.559645,75.0
runner,progressions,acquedotti,31,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.578544354862042,0.1246818596281321,41.85893667,12.55962667,75.0
runner,progressions,acquedotti,32,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.1988896365324981,0.1344391331129514,41.85894,12.55959167,75.0
runner,progressions,acquedotti,33,warmup,low,keep going,Z2,Z2,Z1,Z1,downhill,1.2960031934810285,0.14475392949297872,41.85893167,12.55955333,74.0
