athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,recovery,acquedotti,1,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,4.183933644744592,0,41.85956,12.56004167,75.0
runner,recovery,acquedotti,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.569852533309588,0,41.85954167,12.56003,74.0
runner,recovery,acquedotti,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.660890638233365,0.0018312027962355988,41.859525,12.56001167,73.0
runner,recovery,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5733459793646825,0.017351803891357858,41.85951,12.55999333,73.0
runner,recovery,acquedotti,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6089277398399315,0.002022649590175108,41.859495,12.559975,73.0
runner,recovery,acquedotti,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.610187067973305,0.011708991963923335,41.85948333,12.55996,72.0
runner,recovery,acquedotti,7,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.662451304632644,0.02906615904343286,41.85947167,12.55994333,72.0
runner,recovery,acquedotti,8,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5376916384283255,0.050166401535963995,41.85945833,12.55992,72.0
runner,recovery,acquedotti,9,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5897313340343544,0.0669150482551778,41.85944667,12.55988833,72.0
runner,recovery,acquedotti,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.677941414786261,0.08242192995986886,41.85943667,12.55986667,72.0
runner,recovery,acquedotti,11,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6821947610744346,0.08152340618297388,41.85942667,12.55984667,72.0
runner,recovery,acquedotti,12,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.619098697165931,0.07156853804346196,41.85941833,12.55982667,72.0
runner,recovery,acquedotti,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6545620548038555,0.0830925268285192,41.859405,12.55980333,72.0
runner,recovery,acquedotti,14,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.508838884085929,0.06772969015370037,41.859395,12.55978,73.0
runner,recovery,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.641442707036774,0.05821261987047677,41.85937833,12.55974833,73.0
runner,recovery,acquedotti,16,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6438345395320924,0.05566301577596402,41.85935833,12.55971667,73.0
runner,recovery,acquedotti,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6513748662089065,0.06095867108768557,41.85934167,12.55968667,73.0
runner,recovery,acquedotti,18,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5888460975436707,0.049638351693713764,41.85932833,12.55965833,73.0
runner,recovery,acquedotti,19,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6461627132803685,0.03879125264031526,41.859315,12.55963,73.0
runner,recovery,acquedotti,20,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.5172545647679994,0.021486635040883863,41.859295,12.559595,74.0
runner,recovery,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5402091217136413,0.03014335263512215,41.85927333,12.55955667,74.0
runner,recovery,acquedotti,22,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6521269514116548,0.048939690530861044,41.85924667,12.55951833,74.0
runner,recovery,acquedotti,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5451610764065875,0.03773402245561073,41.85921833,12.559515,74.0
runner,recovery,acquedotti,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5787479292610964,0.03687027037877,41.85918833,12.55952833,74.0
runner,recovery,acquedotti,25,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6918609983746755,0.05481650228449159,41.85910667,12.559585,74.0
runner,recovery,acquedotti,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5432427166368607,0.05415454965705284,41.85907333,12.559605,74.0
runner,recovery,acquedotti,27,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6131514707015784,0.04946527801980219,41.85903833,12.55962667,74.0
runner,recovery,acquedotti,28,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.687060871683464,0.06657755774453761,41.859005,12.55964333,75.0
runner,recovery,acquedotti,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5572529761552576,0.07087821367243335,41.85897667,12.55965,75.0
runner,recovery,acquedotti,30,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.592088327067753,0.07491802897154584,41.85895667,12.559645,75.0
runner,recovery,acquedotti,31,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5205071934883083,0.059447033541972144,41.85893667,12.55962667,75.0
