athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,recovery,belfiore,1,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,4.127461196087732,0,45.189325,10.79284167,37.0
runner,recovery,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5560891394367204,0.002305797683422539,45.18932167,10.79282,37.0
runner,recovery,belfiore,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.604775685039788,0.007470187379392909,45.189325,10.79279833,36.0
runner,recovery,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5437886166424346,0,45.18932667,10.79278,35.0
runner,recovery,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.512195539950082,0,45.18933167,10.792755,35.0
runner,recovery,belfiore,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6394391743422947,0,45.18933833,10.79272333,34.0
runner,recovery,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5142815176538873,0,45.18934167,10.79269167,33.0
runner,recovery,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5536363586951776,0.01814284075726645,45.18934167,10.792665,32.0
runner,recovery,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6220263821867387,0.0266336712139239,45.189345,10.79263833,31.0
runner,recovery,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.59495963107948,0.03484471981146735,45.18935167,10.792615,31.0
runner,recovery,belfiore,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.678957448827596,0.02782436889938538,45.189355,10.79258667,30.0
runner,recovery,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5970313212421132,0.04589010155437599,45.189355,10.79256,29.0
runner,recovery,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6002590966816825,0.030837822351129026,45.18936,10.79252833,29.0
runner,recovery,belfiore,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.596046973008568,0.028511686858702767,45.18936167,10.79250167,28.0
runner,recovery,belfiore,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6263459166904246,0.04204623881706243,45.18936167,10.79247167,28.0
runner,recovery,belfiore,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5498869566711884,0.052781808837229965,45.18936333,10.79244,27.0
runner,recovery,belfiore,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.636124062966918,0.0714876748388576,45.189365,10.79241,27.0
runner,recovery,belfiore,18,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5498287815075558,0.07836424858335858,45.18936833,10.79238,27.0
runner,recovery,belfiore,19,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.523836341791863,0.06747251723864034,45.18937,10.79235,27.0
