athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,recovery,tre_laghi,1,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,4.106718427110624,0.012761591162846857,45.18933,10.79333333,93.0
runner,recovery,tre_laghi,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5278490870576524,0.017956857201734715,45.18926,10.79329333,91.0
runner,recovery,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6519308908334582,0.008301351461226675,45.18926333,10.79323667,90.0
runner,recovery,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6611560296598813,0.02912441955309745,45.18929667,10.79316667,88.0
runner,recovery,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6343051357573515,0.01950881152886099,45.18930833,10.793115,85.0
runner,recovery,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6697503806080007,0.008890302733058105,45.18930667,10.79308167,80.0
runner,recovery,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.686461093509235,0.01599972991150049,45.18930833,10.79303667,76.0
runner,recovery,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.523614616755329,0.006861751026531342,45.18930667,10.79298333,72.0
runner,recovery,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.518061593142627,0,45.18931333,10.79293833,69.0
runner,recovery,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6106324776260554,0,45.189315,10.79289167,66.0
runner,recovery,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6497970596950537,0,45.18931667,10.79285667,64.0
runner,recovery,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5478622168280696,0,45.18931833,10.792825,61.0
runner,recovery,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5160445624787626,0.0034097174455870356,45.18931667,10.79279333,60.0
runner,recovery,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.592324402625589,0,45.18931667,10.79277167,58.0
runner,recovery,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.644238257748349,0,45.18931833,10.79274667,56.0
runner,recovery,tre_laghi,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.558986631652786,0.019475049137384674,45.18932167,10.79271833,55.0
runner,recovery,tre_laghi,17,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6424218032769526,0.0068099628352344885,45.18932333,10.79268833,54.0
runner,recovery,tre_laghi,18,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5767290069445856,0,45.189325,10.79265167,53.0
runner,recovery,tre_laghi,19,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.671739800972728,0.015145508932524518,45.18932667,10.792625,52.0
runner,recovery,tre_laghi,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.556555996289932,0.017447925503517144,45.18932667,10.7926,51.0
runner,recovery,tre_laghi,21,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.628989378789951,0.019013363538511897,45.18933,10.79257333,50.0
runner,recovery,tre_laghi,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6185571360352076,0.0006203124043141252,45.18933,10.79254833,49.0
runner,recovery,tre_laghi,23,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6504277441033834,0.021161059243874594,45.18932833,10.79251833,48.0
runner,recovery,tre_laghi,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6088288020303065,0.023336841044509733,45.18932833,10.79249,48.0
runner,recovery,tre_laghi,25,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5864430292689455,0.030635335784064282,45.18932833,10.79246167,47.0
runner,recovery,tre_laghi,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.560077874643312,0.013030999737224578,45.18933,10.79243167,47.0
runner,recovery,tre_laghi,27,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6077174085329897,0,45.18933,10.79240333,46.0
runner,recovery,tre_laghi,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6383742217965858,0,45.18933167,10.792375,46.0
runner,recovery,tre_laghi,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6317575425947157,0.008791206864013662,45.18933333,10.79234833,46.0
runner,recovery,tre_laghi,30,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5523912562882707,0.011737099174011771,45.189335,10.79232,46.0
runner,recovery,tre_laghi,31,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.603129798413942,0.020698291360291728,45.18933667,10.79229333,45.0
runner,recovery,tre_laghi,32,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6597304778293465,0.03132150619852829,45.18933833,10.79226167,45.0
runner,recovery,tre_laghi,33,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.595057118911213,0.03111794817956609,45.18934167,10.79223167,45.0
runner,recovery,tre_laghi,34,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.567199593161508,0.047274826362984246,45.18934667,10.79220167,45.0
runner,recovery,tre_laghi,35,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.572533729298591,0.04026274149054039,45.18935,10.792175,45.0
runner,recovery,tre_laghi,36,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6439558989607064,0.05951033673494978,45.18935333,10.79215,44.0
runner,recovery,tre_laghi,37,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.657915741096409,0.045170443457996326,45.18935667,10.79212167,44.0
runner,recovery,tre_laghi,38,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5868608740112102,0.04814834638265468,45.18935833,10.79209333,44.0
runner,recovery,tre_laghi,39,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6527773986396683,0.05780392994715192,45.18935833,10.792065,44.0
runner,recovery,tre_laghi,40,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5572461088772913,0.05701261785646827,45.18935833,10.79203667,44.0
runner,recovery,tre_laghi,41,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5944179601066866,0.06644940831388986,45.18936167,10.792005,44.0
runner,recovery,tre_laghi,42,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6638292099195944,0.08552385197606066,45.189365,10.79197167,43.0
runner,recovery,tre_laghi,43,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.572911659549598,0.09626841574864026,45.189365,10.79193833,43.0
runner,recovery,tre_laghi,44,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5191674166003772,0.09094103262255382,45.18936833,10.791905,43.0
runner,recovery,tre_laghi,45,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.560232705957788,0.09891954709180509,45.18937,10.79187333,43.0
runner,recovery,tre_laghi,46,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.629964068384751,0.08810059569362019,45.18937167,10.79184333,43.0
runner,recovery,tre_laghi,47,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6665054546896325,0.09977447999304048,45.189375,10.79181167,43.0
runner,recovery,tre_laghi,48,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5043822807770217,0.11857303449433636,45.18937833,10.79178,42.0
runner,recovery,tre_laghi,49,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.557710199056499,0.13699695723461802,45.18938,10.79175,42.0
runner,recovery,tre_laghi,50,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.65985170995196,0.15245662339100963,45.18938,10.79172167,42.0
runner,recovery,tre_laghi,51,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.629939787041606,0.17300913387919303,45.18938167,10.791695,42.0
runner,recovery,tre_laghi,52,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5545704719586393,0.1872413553997752,45.18938333,10.79166833,42.0
runner,recovery,tre_laghi,53,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.582213183306777,0.18265596074654233,45.18938333,10.79164333,42.0
runner,recovery,tre_laghi,54,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5772900308672018,0.1921123099013962,45.189385,10.79161833,42.0
runner,recovery,tre_laghi,55,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6419051985129816,0.20217618744749208,45.189385,10.79159,42.0
runner,recovery,tre_laghi,56,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6005235061737535,0.20586144110912097,45.18938833,10.79156167,41.0
runner,recovery,tre_laghi,57,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6683346594209363,0.22437764193053422,45.189395,10.79153333,41.0
runner,recovery,tre_laghi,58,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6243035083394557,0.21636550598032095,45.1894,10.79150833,40.0
runner,recovery,tre_laghi,59,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.528036114809345,0.22509034248529972,45.18940333,10.79148333,39.0
runner,recovery,tre_laghi,60,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6339587442491377,0.2303586504776387,45.18940667,10.79145833,39.0
runner,recovery,tre_laghi,61,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5244628242194564,0.23173228169688623,45.189405,10.79143333,38.0
runner,recovery,tre_laghi,62,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.611384923842001,0.25107656187306354,45.18940667,10.791405,37.0
runner,recovery,tre_laghi,63,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.577674194463424,0.2589210648423513,45.18940833,10.79138,36.0
