second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,fatigue_score,fatigue_level,slope,reward,lat,lon,elevation
1,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.002590768926757547,,flat,1.2512567174909999,41.85957667,12.56005167,75.0
2,warmup,low,keep going,Z1,Z2,Z1,Z1,0.002108502300135205,,downhill,1.3702101475751007,41.85956,12.56004167,75.0
3,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,1.9179905603721505,41.85954167,12.56003,74.0
4,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.98380068638929,41.859525,12.56001167,73.0
5,warmup,low,accelerate,Z1,Z2,Z1,Z1,0,,flat,1.3862444328679255,41.85951,12.55999333,73.0
6,warmup,low,keep going,Z2,Z2,Z1,Z1,0.012449218492736263,,downhill,0.2972449382132558,41.859495,12.559975,73.0
7,warmup,low,keep going,Z2,Z2,Z1,Z1,0.009619925893783937,,flat,0.35519527653923866,41.85948333,12.55996,72.0
8,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9805131959588314,41.85947167,12.55994333,72.0
9,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.03529029346369303,,flat,0.2294136137838062,41.85945833,12.55992,72.0
10,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9513632033919133,41.85944667,12.55988833,72.0
11,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.01802180089628869,,flat,0.24333672524756228,41.85943667,12.55986667,72.0
12,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8209762900493485,41.85942667,12.55984667,72.0
13,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.011362603362992161,,flat,0.3133474152848901,41.85941833,12.55982667,72.0
14,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,uphill,1.9741469348297633,41.859405,12.55980333,72.0
15,warmup,low,keep going,Z1,Z1,Z1,Z1,0.007028506998612822,,flat,1.9802641784163422,41.859395,12.55978,73.0
16,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.025976883152499484,,flat,1.3286602574814734,41.85937833,12.55974833,73.0
17,warmup,low,keep going,Z2,Z2,Z1,Z1,0.02283625609660543,,flat,0.3651479924345296,41.85935833,12.55971667,73.0
18,warmup,low,slow down,Z1,Z1,Z1,Z1,0.002473495098239409,,flat,1.8663818575407403,41.85934167,12.55968667,73.0
19,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.009172288399728667,,flat,0.25413556191185616,41.85932833,12.55965833,73.0
20,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,uphill,1.808577391538606,41.859315,12.55963,73.0
21,warmup,low,keep going,Z1,Z1,Z1,Z1,0.012948828500979358,,flat,1.8753165719575224,41.859295,12.559595,74.0
22,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.00014103518163254003,,flat,1.2716427177080891,41.85927333,12.55955667,74.0
23,warmup,low,keep going,Z2,Z2,Z1,Z1,0.014655909603799207,,flat,0.33649931597795585,41.85924667,12.55951833,74.0
24,warmup,low,slow down,Z1,Z1,Z1,Z1,0.0012280113701151445,,flat,1.841516264436838,41.85921833,12.559515,74.0
25,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.032524022774867545,,flat,0.2358354215095114,41.85918833,12.55952833,74.0
26,warmup,low,slow down,Z1,Z1,Z1,Z1,0.004350808753079777,,flat,1.8538646347860852,41.85910667,12.559585,74.0
27,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.03993571305660491,,flat,0.24181469746063575,41.85907333,12.559605,74.0
28,warmup,low,slow down,Z1,Z1,Z1,Z1,0.012526218103774099,,uphill,1.924406151202117,41.85903833,12.55962667,74.0
29,warmup,low,keep going,Z1,Z1,Z1,Z1,0,,flat,1.8897172575041083,41.859005,12.55964333,75.0
30,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.008148940349046428,,flat,1.30716245509503,41.85897667,12.55965,75.0
31,warmup,low,keep going,Z2,Z2,Z1,Z1,0.010711100535944864,,flat,0.3990584963577233,41.85895667,12.559645,75.0
32,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9478960838351769,41.85893667,12.55962667,75.0
33,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.006022434114882099,,downhill,0.39854334356231313,41.85894,12.55959167,75.0
34,warmup,low,keep going,Z2,Z2,Z1,Z1,0.028225722455768064,,flat,0.2763606986191519,41.85893167,12.55955333,74.0
35,warmup,low,slow down,Z2,Z1,Z1,Z1,0.00014224960488562477,,flat,0.9289298144621692,41.858935,12.55951333,74.0
36,warmup,low,keep going,Z1,Z1,Z1,Z1,0.02192907853160577,,flat,1.986723436801346,41.85892,12.55947333,74.0
37,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.052206353530296304,,flat,0.39857815635892946,41.85891333,12.559425,74.0
38,warmup,low,slow down,Z1,Z1,Z1,Z1,0.030573669369216242,,flat,1.8246196581935394,41.85890333,12.55939833,74.0
39,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.052859487178774534,,flat,0.2328190653101992,41.85889333,12.55939833,74.0
40,warmup,low,slow down,Z1,Z1,Z1,Z1,0.02635511738446309,,uphill,1.8402286611360164,41.85887667,12.55938,74.0
41,warmup,low,keep going,Z1,Z1,Z1,Z1,0.032398152035450566,,flat,1.912275061361876,41.85886333,12.55936,75.0
42,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.016390506350745168,,flat,1.3061366767183646,41.85885333,12.559325,75.0
43,warmup,low,keep going,Z2,Z2,Z1,Z1,0.02944744917003437,,flat,0.2577903926255708,41.85884167,12.55930667,75.0
44,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9526701136110192,41.85882667,12.55928667,75.0
45,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.0089832891731683,,uphill,0.3192231835481875,41.85881333,12.55925833,75.0
46,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8401661453689107,41.85879667,12.55923833,76.0
47,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.0029365558369045357,,flat,0.30365322824769747,41.85877833,12.55922,76.0
48,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.878086449305069,41.85876,12.559195,76.0
49,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.0054340273739789564,,uphill,0.3153499906286718,41.85874167,12.55916,76.0
50,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9441864455838396,41.85872833,12.55911,77.0
51,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.01078091344554002,,flat,0.31667908968075387,41.85872167,12.55904833,77.0
52,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.912075564528101,41.85870667,12.55902167,77.0
53,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.03033389793029152,,flat,0.3705317686007691,41.858705,12.55896667,77.0
54,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9648517075070795,41.85869667,12.55894,77.0
55,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.03142763668143114,,flat,0.2905082540249229,41.85867333,12.55895833,77.0
56,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8480441288761118,41.85863333,12.559,77.0
57,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.026621448809974885,,downhill,0.22484857839498734,41.8586,12.55905333,77.0
58,warmup,low,keep going,Z2,Z2,Z1,Z1,0.060314576336076786,,flat,0.35111487143674797,41.85856,12.559115,76.0
59,warmup,low,slow down,Z2,Z1,Z1,Z1,0.028477730647540334,,downhill,0.9890793895265001,41.85854,12.55913,76.0
60,warmup,low,slow down,Z1,Z1,Z1,Z1,0.0029783863449934743,,flat,1.9457844005007525,41.85852167,12.55912667,75.0
61,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.03706715860837151,,downhill,0.2581491903865969,41.85850333,12.55911833,75.0
62,warmup,low,keep going,Z2,Z2,Z1,Z1,0.040978031693175626,,flat,0.3686055053721814,41.85849167,12.55911,74.0
63,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,1.9150160469935456,41.85848667,12.55909833,74.0
64,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9762834387402792,41.85848,12.55908833,73.0
65,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.03604640765595615,,flat,0.37893803452201513,41.85847167,12.559075,73.0
66,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,1.83847846454604,41.85845667,12.55906,73.0
67,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8336598152885268,41.85844333,12.55905,72.0
68,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.008378935834389749,,flat,1.2605329073346612,41.85843167,12.55903833,72.0
69,warmup,low,keep going,Z2,Z2,Z1,Z1,0.012718876920284979,,flat,0.2998782540583482,41.85842333,12.55902667,72.0
70,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9034295757196356,41.85841833,12.55900667,72.0
