second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,fatigue_score,fatigue_level,slope,reward,lat,lon,elevation
1,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,3.6285617165280204,45.18932833,10.792855,38.0
2,warmup,low,keep going,Z1,Z1,Z1,Z1,0,,flat,2.613575630058423,45.189325,10.79284167,37.0
3,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,2.1182030760355555,45.18932167,10.79282,37.0
4,warmup,low,keep going,Z1,Z1,Z1,Z1,0,,downhill,2.5606007944239413,45.189325,10.79279833,36.0
5,warmup,low,keep going,Z1,Z1,Z1,Z1,0.007951935947369532,,flat,2.633286874402055,45.18932667,10.79278,35.0
6,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,2.1516712586566573,45.18933167,10.792755,35.0
7,warmup,low,keep going,Z1,Z1,Z1,Z1,0,,downhill,2.588569594188278,45.18933833,10.79272333,34.0
8,warmup,low,keep going,Z1,Z1,Z1,Z1,0.006355269304944082,,downhill,2.5883072594352274,45.18934167,10.79269167,33.0
9,warmup,low,keep going,Z1,Z1,Z1,Z1,0.010096338162879026,,downhill,2.5448084884636644,45.18934167,10.792665,32.0
10,warmup,low,keep going,Z1,Z1,Z1,Z1,0,,flat,2.569565667458381,45.189345,10.79263833,31.0
11,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,2.299498739925403,45.18935167,10.792615,31.0
12,warmup,low,keep going,Z1,Z1,Z1,Z1,0.016325202156072215,,downhill,2.6225225295233128,45.189355,10.79258667,30.0
13,warmup,low,keep going,Z1,Z1,Z1,Z1,0.013117360960244673,,flat,2.628935910980991,45.189355,10.79256,29.0
14,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,2.1007753473740967,45.18936,10.79252833,29.0
15,warmup,low,keep going,Z1,Z1,Z1,Z1,0.021205764087411316,,flat,2.5486981660363375,45.18936167,10.79250167,28.0
16,warmup,low,slow down,Z1,Z1,Z1,Z1,0.021712470332756032,,downhill,2.124407563335169,45.18936167,10.79247167,28.0
17,warmup,low,keep going,Z1,Z1,Z1,Z1,0.0340905748279743,,flat,2.613029634201347,45.18936333,10.79244,27.0
18,warmup,low,slow down,Z1,Z1,Z1,Z1,0.00365544492076118,,flat,2.267002718389589,45.189365,10.79241,27.0
19,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.108758075645522,45.18936833,10.79238,27.0
20,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,2.2542157185317357,45.18937,10.79235,27.0
21,warmup,low,keep going,Z1,Z1,Z1,Z1,0,,flat,2.5841735893031887,45.18936833,10.79231833,26.0
22,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,2.232353268948257,45.18937,10.792285,26.0
23,warmup,low,keep going,Z1,Z1,Z1,Z1,0.00880970747200002,,flat,2.585392234204985,45.18937,10.79225333,25.0
24,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.232146749542443,45.18937167,10.79221833,25.0
25,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2232032204519685,45.18937333,10.79218667,25.0
26,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.1001644973444415,45.189375,10.79215833,25.0
27,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,2.1080426126299745,45.18937333,10.79213167,25.0
28,warmup,low,keep going,Z1,Z1,Z1,Z1,0,,flat,2.595836662954894,45.18937167,10.792105,24.0
29,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2307432813077286,45.18937,10.792075,24.0
30,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2225811186539035,45.18936667,10.79204167,24.0
31,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2235955414478212,45.18936667,10.79201167,24.0
32,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.16507085061566,45.18936667,10.79198333,24.0
33,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2555298948687637,45.18936667,10.791955,24.0
34,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.1877752501267977,45.18936833,10.79193,24.0
35,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.248922089608928,45.18937,10.7919,24.0
36,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2599309251412096,45.18937167,10.79186833,24.0
37,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.222730129831572,45.18937333,10.79184,24.0
38,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.183751289278238,45.189375,10.79181333,24.0
39,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,uphill,2.1895194238788886,45.18937667,10.79178667,24.0
40,warmup,low,keep going,Z1,Z1,Z1,Z1,0.014450581255812925,,flat,2.6280106013879805,45.18937833,10.79176,25.0
41,warmup,low,slow down,Z1,Z1,Z1,Z1,0.014635054412344797,,flat,2.1641645817653536,45.18938,10.79173167,25.0
42,warmup,low,slow down,Z1,Z1,Z1,Z1,0.005179971914913166,,flat,2.165004425182608,45.18938,10.791705,25.0
43,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.105407996967179,45.18938333,10.79167833,25.0
