second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,fatigue_score,fatigue_level,slope,reward,lat,lon,elevation
1,warmup,low,keep going,Z1,Z1,Z1,Z1,0.016115369023171927,,downhill,4.03232876547775,45.18932833,10.792855,38.0
2,warmup,low,keep going,Z1,Z1,Z1,Z1,0.0012171687065782397,,flat,2.6184733087678422,45.189325,10.79284167,37.0
3,warmup,low,keep going,Z1,Z1,Z1,Z1,0.009998777091203472,,downhill,2.6558138343888924,45.18932167,10.79282,37.0
4,warmup,low,keep going,Z1,Z1,Z1,Z1,0.009771715798742772,,downhill,2.622956855801336,45.189325,10.79279833,36.0
5,warmup,low,keep going,Z1,Z1,Z1,Z1,0,,flat,2.6898604333334495,45.18932667,10.79278,35.0
6,warmup,low,keep going,Z1,Z1,Z1,Z1,0,,downhill,2.5389657588553107,45.18933167,10.792755,35.0
7,warmup,low,keep going,Z1,Z1,Z1,Z1,0.021736264025212046,,downhill,2.5747295099791097,45.18933833,10.79272333,34.0
8,warmup,low,keep going,Z1,Z1,Z1,Z1,0.01094621158175372,,downhill,2.6901572903071678,45.18934167,10.79269167,33.0
9,warmup,low,keep going,Z1,Z1,Z1,Z1,0.016881220717994038,,downhill,2.6092480854934066,45.18934167,10.792665,32.0
10,warmup,low,keep going,Z1,Z1,Z1,Z1,0.03657105473143665,,flat,2.6325591660423675,45.189345,10.79263833,31.0
11,warmup,low,keep going,Z1,Z1,Z1,Z1,0.054398499464855206,,downhill,2.6420167280505673,45.18935167,10.792615,31.0
12,warmup,low,keep going,Z1,Z1,Z1,Z1,0.044296081810471954,,downhill,2.549562972012682,45.189355,10.79258667,30.0
13,warmup,low,keep going,Z1,Z1,Z1,Z1,0.05958091060943353,,flat,2.6391122280726322,45.189355,10.79256,29.0
14,warmup,low,keep going,Z1,Z1,Z1,Z1,0.06379223064731294,,downhill,2.5612883412804184,45.18936,10.79252833,29.0
15,warmup,low,keep going,Z1,Z1,Z1,Z1,0.06163757129911597,,flat,2.586100435926977,45.18936167,10.79250167,28.0
16,warmup,low,keep going,Z1,Z1,Z1,Z1,0.07063045044711627,,downhill,2.695817604590388,45.18936167,10.79247167,28.0
17,warmup,low,keep going,Z1,Z1,Z1,Z1,0.0809322988026027,,flat,2.5286525225260994,45.18936333,10.79244,27.0
18,warmup,low,keep going,Z1,Z1,Z1,Z1,0.08312593004828069,,flat,2.548841943722425,45.189365,10.79241,27.0
19,warmup,low,keep going,Z1,Z1,Z1,Z1,0.08425800902006096,,flat,2.6042065625351536,45.18936833,10.79238,27.0
20,warmup,low,keep going,Z1,Z1,Z1,Z1,0.08941342254857675,,downhill,2.5970880610920832,45.18937,10.79235,27.0
21,warmup,low,keep going,Z1,Z1,Z1,Z1,0.1074917405399684,,flat,2.590124356295192,45.18936833,10.79231833,26.0
22,warmup,low,keep going,Z1,Z1,Z1,Z1,0.12439387870357704,,downhill,2.612602055663463,45.18937,10.792285,26.0
23,warmup,low,keep going,Z1,Z1,Z1,Z1,0.143768874533371,,flat,2.520445821808695,45.18937,10.79225333,25.0
24,warmup,low,keep going,Z1,Z1,Z1,Z1,0.16415711918618084,,flat,2.532271391850343,45.18937167,10.79221833,25.0
25,warmup,low,keep going,Z1,Z1,Z1,Z1,0.18176566565852437,,flat,2.6784402886012537,45.18937333,10.79218667,25.0
26,warmup,low,keep going,Z1,Z1,Z1,Z1,0.1883931052635319,,flat,2.539076604775868,45.189375,10.79215833,25.0
27,warmup,low,keep going,Z1,Z1,Z1,Z1,0.18048859778701484,,downhill,2.623790609144904,45.18937333,10.79213167,25.0
28,warmup,low,keep going,Z1,Z1,Z1,Z1,0.20169138578754967,,flat,2.640389551262316,45.18937167,10.792105,24.0
29,warmup,low,keep going,Z1,Z1,Z1,Z1,0.22114867255404422,,flat,2.6844340213651514,45.18937,10.792075,24.0
30,warmup,low,keep going,Z1,Z1,Z1,Z1,0.23027369941930098,,flat,2.642878400736804,45.18936667,10.79204167,24.0
31,warmup,low,keep going,Z1,Z1,Z1,Z1,0.2484584323851658,,flat,2.574363248055463,45.18936667,10.79201167,24.0
32,warmup,low,keep going,Z1,Z1,Z1,Z1,0.2553717442042585,,flat,2.5497316647598787,45.18936667,10.79198333,24.0
33,warmup,low,keep going,Z1,Z1,Z1,Z1,0.2747194035552787,,flat,2.5037473034046793,45.18936667,10.791955,24.0
34,warmup,low,keep going,Z1,Z1,Z1,Z1,0.2751845511362434,,flat,2.5735505542113803,45.18936833,10.79193,24.0
35,warmup,low,keep going,Z1,Z1,Z1,Z1,0.2781215277230473,,flat,2.56988225260075,45.18937,10.7919,24.0
36,warmup,low,keep going,Z1,Z1,Z1,Z1,0.29905375285623154,,flat,2.6802891466410697,45.18937167,10.79186833,24.0
37,warmup,low,keep going,Z1,Z1,Z1,Z1,0.2956296580635519,,flat,2.552086831418514,45.18937333,10.79184,24.0
38,warmup,low,keep going,Z1,Z1,Z1,Z1,0.2878643669685834,,flat,2.6470113656131202,45.189375,10.79181333,24.0
39,warmup,low,keep going,Z1,Z1,Z1,Z1,0.2826426684485186,,uphill,2.5797081844593452,45.18937667,10.79178667,24.0
40,warmup,low,keep going,Z1,Z1,Z1,Z1,0.2964658259730084,,flat,2.515699096999588,45.18937833,10.79176,25.0
41,warmup,low,keep going,Z1,Z1,Z1,Z1,0.2809453783541461,,flat,2.5844399251790806,45.18938,10.79173167,25.0
42,warmup,low,keep going,Z1,Z1,Z1,Z1,0.276461553122714,,flat,2.5954153246184557,45.18938,10.791705,25.0
