second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,fatigue_score,fatigue_level,slope,reward,lat,lon,elevation
1,warmup,low,accelerate,Z1,Z2,Z1,Z1,0,,flat,1.2944812506343288,41.85957667,12.56005167,75.0
2,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,1.860942699682714,41.85956,12.56004167,75.0
3,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,1.847379963569693,41.85954167,12.56003,74.0
4,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.827122743554704,41.859525,12.56001167,73.0
5,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.00749782513868519,,flat,1.2476914833217208,41.85951,12.55999333,73.0
6,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,1.9912399698329568,41.859495,12.559975,73.0
7,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8013313766074617,41.85948333,12.55996,72.0
8,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.009672800174299964,,flat,1.2381926012557734,41.85947167,12.55994333,72.0
9,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8718085814629561,41.85945833,12.55992,72.0
10,warmup,low,accelerate,Z1,Z2,Z1,Z1,0,,flat,1.3854048577543085,41.85944667,12.55988833,72.0
11,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9079297653753273,41.85943667,12.55986667,72.0
12,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.014417543459397034,,flat,1.3496201435904294,41.85942667,12.55984667,72.0
13,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8921183513224948,41.85941833,12.55982667,72.0
14,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.018663655533239603,,uphill,0.39389194966939933,41.859405,12.55980333,72.0
15,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8731583357687298,41.859395,12.55978,73.0
16,warmup,low,accelerate,Z2,Z2,Z1,Z1,0,,flat,0.24842435723198708,41.85937833,12.55974833,73.0
17,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8193725063072215,41.85935833,12.55971667,73.0
18,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.033156472598777076,,flat,0.30080022427308384,41.85934167,12.55968667,73.0
19,warmup,low,slow down,Z1,Z1,Z1,Z1,0.021687244249910115,,flat,1.9589418602434352,41.85932833,12.55965833,73.0
20,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.0466830007155402,,uphill,0.3954376718020147,41.859315,12.55963,73.0
21,warmup,low,slow down,Z1,Z1,Z1,Z1,0.033060979287488065,,flat,1.9690305286790717,41.859295,12.559595,74.0
22,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.037975463996527556,,flat,0.2169877502284323,41.85927333,12.55955667,74.0
23,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8905682700036304,41.85924667,12.55951833,74.0
24,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.03349788538618073,,flat,0.39749620691659415,41.85921833,12.559515,74.0
25,warmup,low,slow down,Z1,Z1,Z1,Z1,0.0049823417149632045,,flat,1.8224250042495982,41.85918833,12.55952833,74.0
26,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.016900167420518183,,flat,0.3870055219552019,41.85910667,12.559585,74.0
27,warmup,low,slow down,Z1,Z1,Z1,Z1,0.0032235132642310163,,flat,1.882817976304539,41.85907333,12.559605,74.0
28,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.0077219510189635715,,uphill,0.2072484619423453,41.85903833,12.55962667,74.0
29,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9561340656453565,41.859005,12.55964333,75.0
30,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.026917051469433722,,flat,0.2773447167075274,41.85897667,12.55965,75.0
31,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8907128271743874,41.85895667,12.559645,75.0
32,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.002095095155474085,,flat,0.27494431854035695,41.85893667,12.55962667,75.0
33,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,1.842817920401969,41.85894,12.55959167,75.0
34,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.800327503778777,41.85893167,12.55955333,74.0
35,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.011353809593057327,,flat,1.2280272282427955,41.858935,12.55951333,74.0
36,warmup,low,slow down,Z1,Z1,Z1,Z1,0.004621527680584847,,flat,1.9339241720635512,41.85892,12.55947333,74.0
37,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.03787445927905594,,flat,0.2382532162773935,41.85891333,12.559425,74.0
38,warmup,low,slow down,Z1,Z1,Z1,Z1,0.03218161173670602,,flat,1.8569766760267306,41.85890333,12.55939833,74.0
39,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.042363390370207935,,flat,0.3070656038888573,41.85889333,12.55939833,74.0
40,warmup,low,slow down,Z1,Z1,Z1,Z1,0.012081336969738794,,uphill,1.9980511661905827,41.85887667,12.55938,74.0
41,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9640400426519882,41.85886333,12.55936,75.0
42,warmup,low,accelerate,Z1,Z2,Z1,Z1,0,,flat,1.3701370440890022,41.85885333,12.559325,75.0
43,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9361484231217698,41.85884167,12.55930667,75.0
44,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.0014855805418341247,,flat,0.2624627654412346,41.85882667,12.55928667,75.0
45,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,uphill,1.8302197310844281,41.85881333,12.55925833,75.0
46,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9222959813550076,41.85879667,12.55923833,76.0
47,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.015962372648737542,,flat,1.210520216949351,41.85877833,12.55922,76.0
48,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8527991308748735,41.85876,12.559195,76.0
49,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.00980003269373028,,uphill,1.2071451754763396,41.85874167,12.55916,76.0
50,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.976074745007435,41.85872833,12.55911,77.0
51,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.020669429950786928,,flat,0.2816204280500776,41.85872167,12.55904833,77.0
52,warmup,low,slow down,Z1,Z1,Z1,Z1,0.010712090272634412,,flat,1.9806614049857203,41.85870667,12.55902167,77.0
53,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.023848216154764016,,flat,0.3518365764494393,41.858705,12.55896667,77.0
54,warmup,low,slow down,Z1,Z1,Z1,Z1,0.016685274418864127,,flat,1.9369980600196486,41.85869667,12.55894,77.0
55,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.011731154354277035,,flat,0.310317559361734,41.85867333,12.55895833,77.0
56,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8057848529533178,41.85863333,12.559,77.0
57,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.020569457022307593,,downhill,0.3278472544011035,41.8586,12.55905333,77.0
58,warmup,low,slow down,Z1,Z1,Z1,Z1,0.011091572374754818,,flat,1.9582338383083677,41.85856,12.559115,76.0
59,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.027494633394649675,,downhill,0.38160022374029334,41.85854,12.55913,76.0
60,warmup,low,slow down,Z1,Z1,Z1,Z1,0.004910868015476855,,flat,1.838111925521292,41.85852167,12.55912667,75.0
61,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.01802996889296566,,downhill,0.25069623894043136,41.85850333,12.55911833,75.0
62,warmup,low,slow down,Z1,Z1,Z1,Z1,0.004317890754275008,,flat,1.8186300176958716,41.85849167,12.55911,74.0
63,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.02538512955438415,,downhill,0.24939981389766866,41.85848667,12.55909833,74.0
64,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8125981979840415,41.85848,12.55908833,73.0
65,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.02561913825805012,,flat,0.3302019233031779,41.85847167,12.559075,73.0
66,warmup,low,slow down,Z1,Z1,Z1,Z1,0.0008187969981920534,,downhill,1.841995738571699,41.85845667,12.55906,73.0
67,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8955200611212726,41.85844333,12.55905,72.0
68,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.010010882242595815,,flat,1.3006640343836935,41.85843167,12.55903833,72.0
69,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8519471049732612,41.85842333,12.55902667,72.0
70,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.0312184183088802,,flat,0.360154652452087,41.85841833,12.55900667,72.0
71,warmup,low,slow down,Z1,Z1,Z1,Z1,0.013964615413476846,,downhill,1.8301250329413552,41.858415,12.55898,72.0
72,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.910512726720223,41.85841167,12.558955,71.0
73,warmup,low,accelerate,Z1,Z2,Z1,Z1,0,,flat,1.3214915104380325,41.85840167,12.55893,71.0
74,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9120396128778465,41.85839,12.55891333,71.0
75,warmup,low,accelerate,Z1,Z2,Z1,Z1,0,,flat,1.3084485522318312,41.858375,12.55889,71.0
76,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9522058814922545,41.85835667,12.55886833,71.0
77,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.002043094344061625,,flat,0.3752814608803333,41.85834167,12.55885,71.0
78,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.915089992577676,41.85833167,12.55882833,71.0
79,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.02083855799368129,,downhill,0.30283103576104753,41.85831833,12.55881,71.0
80,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9546034926371767,41.85830667,12.55879333,70.0
81,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.020932710963668808,,flat,0.2595028271593559,41.85829333,12.55877,70.0
82,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9228847521813535,41.85828,12.55874167,70.0
83,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.02135399286296078,,flat,0.22862414686047589,41.85827167,12.55871,70.0
84,warmup,low,slow down,Z1,Z1,Z1,Z1,0.002895295167862331,,flat,1.9260428620873093,41.85826,12.55867833,70.0
85,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.034812390697255266,,flat,0.36713674706230337,41.85824667,12.55864667,70.0
86,warmup,low,slow down,Z1,Z1,Z1,Z1,0.007161923461672676,,flat,1.9819085304062403,41.85823167,12.55861333,70.0
87,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.03774542265961123,,flat,0.32825279259317897,41.85821333,12.55859167,70.0
88,warmup,low,slow down,Z1,Z1,Z1,Z1,0.011795556486868284,,flat,1.9693839692927633,41.85819833,12.55856833,70.0
89,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.014052322974395804,,flat,0.2445237991737386,41.85818,12.55855667,70.0
90,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,uphill,1.803927209666779,41.85816167,12.55855833,70.0
91,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8480222356011453,41.85814667,12.55855,71.0
92,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.02249570841006231,,flat,1.273409045623981,41.85812333,12.55853333,71.0
93,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8931287849962846,41.85810833,12.55851667,71.0
94,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.015402875652350798,,flat,0.21289546649103885,41.85809667,12.55849333,71.0
95,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.90496792800555,41.858085,12.55846,71.0
96,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.01631135955392138,,flat,0.2891511422909432,41.85807667,12.55843667,71.0
97,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,uphill,1.8912378600039284,41.858065,12.55840833,71.0
98,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8464269497715569,41.858055,12.55838333,72.0
99,warmup,low,accelerate,Z1,Z2,Z1,Z1,0,,flat,1.2932448756884107,41.85804167,12.55836,72.0
100,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9993358546008562,41.85802667,12.55833833,72.0
101,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.026975523143822618,,uphill,0.3089242438835612,41.85801333,12.55832833,72.0
102,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8027188191804486,41.85799833,12.55832667,73.0
103,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.023818271239248543,,flat,0.2695522542742604,41.85798,12.55832333,73.0
104,warmup,low,slow down,Z1,Z1,Z1,Z1,0.017967120124120366,,flat,1.9558333355951296,41.857965,12.55830167,73.0
105,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.039504468964123324,,flat,0.2255185251726206,41.85795167,12.55827667,73.0
106,warmup,low,slow down,Z1,Z1,Z1,Z1,0.0012614307687470114,,flat,1.8448481302886863,41.85793667,12.55825,73.0
107,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.026544701356581494,,flat,0.3040548298350352,41.857925,12.55823,73.0
108,warmup,low,slow down,Z1,Z1,Z1,Z1,0.004915764547456087,,flat,1.8584463072582065,41.85791167,12.55820333,73.0
109,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.026839733487043056,,flat,0.3816795655959867,41.8579,12.55818167,73.0
110,warmup,low,slow down,Z1,Z1,Z1,Z1,0.011783427897907265,,flat,1.9914744538173588,41.85788833,12.55815833,73.0
111,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.044947411592527756,,flat,0.22792373368534266,41.85787,12.558135,73.0
112,warmup,low,slow down,Z1,Z1,Z1,Z1,0.021958092260396703,,uphill,1.8468657672132978,41.85785,12.55811,73.0
113,warmup,low,slow down,Z1,Z1,Z1,Z1,0.00405923709956043,,flat,1.9579997929138107,41.857835,12.55808833,74.0
114,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.012086449421674231,,flat,1.2634363611317792,41.85781667,12.55806667,74.0
115,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,uphill,1.8684241946580409,41.85779833,12.55804833,74.0
116,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9741762935893648,41.85777833,12.558035,75.0
117,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.011045522849815798,,downhill,1.2515128102669215,41.85776333,12.55802833,75.0
118,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8083867014849548,41.85774167,12.55803667,74.0
119,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.006864474687139249,,flat,1.3351172895309487,41.85771833,12.558055,74.0
120,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,1.9836645070849623,41.8577,12.55806667,74.0
121,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8400496896452445,41.85769,12.55806333,73.0
122,warmup,low,accelerate,Z1,Z2,Z1,Z1,0,,downhill,1.302385305990576,41.85767667,12.55805667,73.0
123,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9439166785968947,41.857665,12.55804667,72.0
124,warmup,low,accelerate,Z1,Z2,Z1,Z1,0,,downhill,1.2138089290726721,41.85765333,12.55803667,72.0
125,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.951663279990275,41.85763833,12.55802667,71.0
126,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.0052548232803982815,,flat,0.3181005622813835,41.85762667,12.558015,71.0
127,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,1.9133715220351084,41.85761333,12.55800333,71.0
128,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9290492563701114,41.85759833,12.55798667,70.0
129,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.009819788245348586,,flat,1.2979155921633874,41.85758667,12.55795833,70.0
130,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,1.8934455000257775,41.85757833,12.55792667,70.0
131,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9101006157942162,41.85756,12.55789167,69.0
132,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.008166121684011244,,flat,1.2011234443369,41.85754,12.55785833,69.0
133,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9802489318829375,41.85752667,12.55783833,69.0
134,warmup,low,accelerate,Z1,Z2,Z1,Z1,0,,downhill,1.3793743654273833,41.85750333,12.55782167,69.0
135,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9048201430605016,41.85747333,12.55780667,68.0
136,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.019656331121610884,,flat,0.38424867723901523,41.85745167,12.55778833,68.0
137,warmup,low,slow down,Z1,Z1,Z1,Z1,0.00854271179474345,,flat,1.9663265599405206,41.85741833,12.55779333,68.0
138,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.022001706353531537,,flat,0.25686987867498,41.85738333,12.55780667,68.0
139,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,1.954710811635488,41.85735,12.55782333,68.0
140,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9274006480325567,41.85732333,12.55782833,67.0
141,warmup,low,accelerate,Z1,Z2,Z1,Z1,0,,downhill,1.2241710038414206,41.8573,12.557815,67.0
142,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9378574953254926,41.857265,12.55779167,66.0
143,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.0022696635077713114,,downhill,1.218067881262419,41.85724833,12.557745,66.0
144,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8301503236415393,41.85724,12.55767833,65.0
145,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.0022427638393373306,,flat,0.37959249700954245,41.85723,12.55761833,65.0
146,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8423987257455319,41.85722167,12.55758167,65.0
147,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.013683317587163391,,downhill,0.31368618288944544,41.85720833,12.55753167,65.0
148,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8470975558431806,41.85719333,12.55748,64.0
149,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.011912045835812693,,flat,0.32468805291339686,41.85717333,12.55743333,64.0
150,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8918376945647215,41.85716,12.557395,64.0
151,warmup,low,accelerate,Z2,Z2,Z1,Z1,0,,flat,0.28534802443060137,41.857135,12.55737667,64.0
152,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9677115149184194,41.85711333,12.55741333,64.0
153,warmup,low,accelerate,Z2,Z2,Z1,Z1,0,,flat,0.2497642436242261,41.85709833,12.557395,64.0
154,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.900586599017893,41.85706833,12.55743,64.0
155,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.001700853948942465,,downhill,0.2914083575049149,41.85706167,12.55745333,64.0
156,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9655286506182739,41.857065,12.55745833,63.0
157,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.018156739444433,,flat,0.3921113841712982,41.85705667,12.55746167,63.0
158,warmup,low,slow down,Z1,Z1,Z1,Z1,0.002520601393414458,,flat,1.9030193264168112,41.85704333,12.55745833,63.0
159,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.007837194021269915,,flat,0.26914327864482507,41.85703333,12.55744667,63.0
160,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8334623760749578,41.857025,12.55741667,63.0
161,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.013207820738993764,,flat,0.3923026561677456,41.85700667,12.55738333,63.0
162,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9421884061653818,41.85699333,12.557355,63.0
163,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.002452871994638525,,flat,0.36206660160749693,41.856985,12.55734167,63.0
164,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9826452733960778,41.85697,12.557325,63.0
165,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.010329885466190188,,uphill,0.26375343704615817,41.856955,12.55730333,63.0
166,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.906719061763916,41.85694,12.55728333,64.0
167,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.01954648545208314,,flat,0.37364529403167623,41.85692333,12.55726167,64.0
168,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9366774118282846,41.856915,12.55724333,64.0
169,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.0023677156199217644,,flat,0.25374505545505266,41.85690167,12.55724167,64.0
170,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9804865744749574,41.85688667,12.55724667,64.0
171,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.023148284165885324,,flat,0.38149663981615217,41.856875,12.55724833,64.0
172,warmup,low,slow down,Z1,Z1,Z1,Z1,0.007299142395178697,,downhill,1.9403871313003866,41.85686667,12.55724833,64.0
173,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8169552716662207,41.85686167,12.55725,63.0
174,warmup,low,accelerate,Z1,Z2,Z1,Z1,0.004772130044798329,,flat,1.2290557384114253,41.85686,12.55724667,63.0
175,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.999308621586112,41.85685833,12.557245,63.0
176,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.005562650433231614,,flat,0.3445328655067941,41.85685833,12.55724167,63.0
177,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8934206744964899,41.856855,12.55724,63.0
178,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.016270038819249898,,flat,0.35105127541022785,41.85685167,12.55724,63.0
179,warmup,low,slow down,Z1,Z1,Z1,Z1,0.003918199657443784,,flat,1.850246878465387,41.856845,12.557235,63.0
180,warmup,low,accelerate,Z2,Z2,Z1,Z1,0,,uphill,0.3730869964448672,41.85683167,12.55723,63.0
181,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8647468137720546,41.85681833,12.55722167,64.0
182,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.031206428700993615,,flat,0.3786662688840431,41.85680333,12.55721667,64.0
183,warmup,low,slow down,Z1,Z1,Z1,Z1,0.015557108522567975,,flat,1.8646947701383345,41.85678833,12.55721,64.0
184,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.01221285035290439,,uphill,0.39146615101993076,41.85677167,12.55720833,64.0
185,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9120573376503465,41.85675833,12.55720833,65.0
186,warmup,low,accelerate,Z2,Z2,Z1,Z1,0,,uphill,0.2704553626926256,41.85675333,12.55720167,65.0
187,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8739730117150482,41.85675,12.55719833,66.0
188,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.019936051742659472,,flat,0.3237520662728129,41.85674833,12.55719333,66.0
189,warmup,low,slow down,Z1,Z1,Z1,Z1,0.012938488076233004,,flat,1.9250300770979905,41.85674167,12.55719,66.0
190,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.03778176780481897,,flat,0.2456534266834482,41.85673,12.55718333,66.0
191,warmup,low,slow down,Z1,Z1,Z1,Z1,0.011679115865652095,,flat,1.8475469019992556,41.85671167,12.55717333,66.0
192,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.029585265130772493,,flat,0.3463299025336682,41.85669833,12.55716167,66.0
193,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8105531265639292,41.85668667,12.55715167,66.0
194,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.0004669150505902317,,flat,0.3211895860495677,41.85668,12.55713,66.0
195,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8771177114737556,41.85666833,12.5571,66.0
196,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.025756369325442858,,uphill,0.2849344702954909,41.85665333,12.55707167,66.0
197,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8522558993838507,41.85663833,12.55704667,67.0
198,warmup,low,accelerate,Z2,Z2,Z1,Z1,0,,flat,0.24226525101056412,41.856625,12.557025,67.0
199,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8051731835820108,41.85661,12.55701,67.0
200,warmup,low,accelerate,Z2,Z2,Z1,Z1,0,,uphill,0.3839469710943432,41.856595,12.55699833,67.0
201,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8908971539223567,41.85658,12.556985,68.0
202,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.01581306781737132,,flat,0.36321075812860615,41.856565,12.55696833,68.0
203,warmup,low,slow down,Z1,Z1,Z1,Z1,0.005604879849371341,,flat,1.864234298030398,41.85654667,12.55695667,68.0
204,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.005133498057947751,,flat,0.3395323963170347,41.85653167,12.556945,68.0
205,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.946316272974802,41.856515,12.556935,68.0
206,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.026031315570992735,,downhill,0.31936936548314815,41.85650167,12.55692333,68.0
207,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9702039275613192,41.85648667,12.55690667,67.0
208,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.025457342655263487,,flat,0.30909851032712277,41.856475,12.55688333,67.0
209,warmup,low,slow down,Z1,Z1,Z1,Z1,0.0010837880477205138,,downhill,1.865355825792185,41.856465,12.55686667,67.0
210,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.8940600723516294,41.85645333,12.55684833,66.0
211,warmup,low,accelerate,Z1,Z2,Z1,Z1,0,,flat,1.3906907825761257,41.85644333,12.556835,66.0
212,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.920880831210666,41.85643167,12.55682,66.0
213,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.015554214604263202,,flat,0.36614156734336767,41.85641667,12.556805,66.0
214,warmup,low,slow down,Z1,Z1,Z1,Z1,4.460635612709221e-05,,flat,1.957768319288076,41.85640333,12.556795,66.0
215,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.00047907799162776564,,uphill,0.28767632274619115,41.856385,12.55677667,66.0
216,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.960750466939882,41.85636667,12.55675667,67.0
217,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.0073060680387081085,,flat,0.2804374984991983,41.85634333,12.55674,67.0
218,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,1.9592743465022495,41.85631833,12.556725,67.0
219,warmup,low,accelerate,Z2,Z2,Z1,Z1,0.02700249087096045,,flat,0.3957512441343981,41.85629167,12.556715,67.0
220,warmup,low,slow down,Z1,Z1,Z1,Z1,0.00356475599349218,,flat,1.8085520737454093,41.85626833,12.5567,67.0
